1-stan-1290	25	. 							Cependant 				son 		fils 		aîné							, 	qui 	était 			dans 	les 	champs				,  						revint								; 	et	lorsqu’			il 			fut 		proche 	de 	la 	maison					, 			il 	entendit  			les 																concerts 							et 		le 	bruit 	de 		"ceux
            "	qui 		dansaient								.
26-poit-1241	25	. 							Pendant tchau temps	, 			son 		fait 	le 	pus vieux 								qui 	"était
            "			aux 		champs				, 				s’	en 	revenit								, 	et 	quand 			il 					approchit 	de 	la 	maison					, 			il 	entendit 			"la
            "																musique 							et 		le 	brut 	de 		tehelez 	qui 		dansiant								.
29-poit-1241	25	. 							Prêtant 				son 		feuil 		ainné 								chi 	étoit 			aux 		champs 										revenit								",
            "	et 	alors ch’			i 			fut 	tout 	prees 	do 		logis					, 			il 	entendit 			que 							le 	chantiant														, 								que 	"le
            "	dansiant								.
30-poit-1241	25	. 							Pertan 				le 		gouya 	l’	ayné 								qu’	eytait 			dans 	ley 	"champ
            "										revenguit 									et 	quan 			y 			fit 		proche 	de 	la 	meyson					, 			y l’	entendit 			le 																concere 							et 					"la
            "				danse								.
31-limo-1246	25	. . 							Entretandis 				son 		ménage 	le 	pu vieil 									était 			cabat 	"les
            "	champs				, 	et 	à mesure	qu’i			venait 									et 									approchait 	de 	la 	maison					, 			il 	entendit 								force monde	que 		chantian 															et 										se 	rejoyissian						.
33-limo-1246	25	. 	La 	fêto 	éro 	deydja 	coumençado	, 	quand 				lou 		fîs 		ayna 									"aribé
            "			doou 		tchams 																			et 	quant 			oôu 			fugué 		près 	de 	la 	meydjou 						et 	qu’		oougue entendu 			lou 													"soun
            "	doôu 		instrumens 							et 		lou 	bru 	de 		qui 	que 		dansavon								.
34-lang-1309	25	. 							Cépenden 				soun 		fil 		oïnat							, 	que 	éro 			din 	los 	terros				",
            "						tournait								, 	et 	quan 						fuguoit 		protsé 	de 	lo 	moïou					, 				entendoit 			lus 																councers 							et 		"lou
            "	brut 	d’		oquéous 	qué 		donsavoun								.
35-limo-1246	25	. 											L’				ainê							, 	qu’	éro 			à 	la 	campagno				, 					ein 	reveinguét								; 		coum’			"hu
            "	s’				apréchâvo 	de 	la 	méjou 		dé 	soun 	paîré	, 			v’	einteindé 			la 																musico 							et 					la 				danso								.
36-limo-1246	25	. 							Mas 				lou 	pûs viei 	drolé 											ério 			per 	tous 	champs 					et 	coumo 	"au
            "			veigno 									et 					se 				preïmavo 	dé 		chas sé					’			aû 	auviguet 											chantas 															et 									fanfougnias								.
37-limo-1246	25	. 							Cépendent 				soun 		fis 		ainâ 								qu’	érô 			aus 		champs 										revengué								";
            "	et 	lorsqu’			eü 			fugué 		prôcbé 	de 	la 	maigeou					, 			au 	entende 			lou 													soun 	daus 		instrumeins 							"et
            "		lou 	brû 	d’		aqui 	qué 		dansavent								.
38-auve-1239	25	. 														L	einé 	d’	au 	garçou 					z’	éro 			ve 	lau 	tsan 																																				’		quan 	ïau z’	eintende			la 																mujiquô 							et 					la 				danso								.
39-lang-1309	25	. 											Lou 		fil 		ainat 									ero 			ol 		comp 	dins 	oquel 	moumein 	: 		"quond
            "				taurnet 									et 	que 				s’				aprouxiet 	de 	l’	oustaou 									eitendeit 																			conta 							et 									donsa								.
40-lang-1309	25	. 							Cependen 				soun 		fil 		einat 								qu’	éro 			os 		comps 										tournet 									è	"quont
            "						fousquet 		prep	de 	soun 	oustal 									entendetq 										ue 									contabou 							è 							que 		dansabou								.
41-lang-1309	25	. 							Cependén 				lou 		fil 		aynat 									ero 			as 		cans				, 	e 	coumo 				tournabo									e 	que 				s’				aproutchabo 	de	l’	oustal 									enlendec 			de 								cans 															et 				de 					dansos								.
42-limo-1246	25	. 							Mé 				lou 				l’eynat 									ére 			aou 		chan 					é 	coume 				benéoue 										qu’								aprouchéoue 	de 	l’	oustaou 									entendut 			lous 																biélounz							é 					la 				danse								.
43-gasc-1240	25	. 							Sur aquet demey	, 			loti 		hil 		aynat							, 	qui 	ero 			aou 		camp				, 		"que
            "		s’	en 	tournaoüo 					à 	l’	oustaou	, 		quand 					n’	estec 		proche								, 	é 			entenouc 			lou 													brut 	d’eous		instruments 							é 				de 	las 				dansos								.
44-lang-1309	25	. 							É 				sou 		fill 		ainat 									éro 			pes 		camps 				; 	é 	quand 				benguéc 									é 	"que
            "								approuchec 	de 	l’	oustal 									entendec 			uno 																simphounio 							é 					un 				cor								.
45-lang-1309	25	. 							Or 				sou 		hill 		ainat 								qu’	ero 			en 	es 	camps 				; 	et 	coumo 		"se
            "		retiraüo 									et 					s’				aprouchaüo 	d’	era 	maizou					, 				entenec 																			instrumens	et 				cant																			.
46-lang-1309	25	. 							Cepandant 				soun 		fil 		aynat							, 		éro 			dins 	lès 	"camps
            "										rebènguèc 									et 	quand 						fousquèc 		prochè 	de 	l’	oustal 									èntèndèc 									què 		cantaboun 															et 							"què
            "		dansaboun								.
47-lang-1309	25	. 							Or 				le 		fil 		aynat 				d’	aquel 	paire 			ero 			pes 		camps				, 	et 	"coumo
            "				benio 									et 	que 				s’				approuchaba 	de 	l’	oustail					, 				ausig 																			concert 							et 									dansa								.
48-lang-1309	25	. 							Or 				le 		fil 		aynat 				d’	aquel 	paire 			ero 			pes 		camps 				; 	et 	"coumo
            "				benio 									et 	que 				s’				aprouchaba 	de 	l’	oustal					, 				ausig 																			concert 							et 									dansa								.
49-cata-1291	25	. 							Empero 				son 		fill 	lo 	mes vell 									era 			al 		camp				, 	y 					venint 									y 					"se
            "				appropant 	de 	la 	casa					, 				oï 																			musica 	et 				cants																			.
51-lang-1309	25	. 							Alabéts 				lé 		fil 		ainat 									éro 			al 		camp 				, 	et 				en 	"bénén
            "																														ausisquéc 		dé lenc	la 																musico						, 	et 		las 	crits 							de 	joyo						.
52-lang-1309	25	. 							Penden aquo 	, 			l’		effan 		pu biel 								qu	éro 			al 		camp 										benguet 									"et
            "	coumo 				s’				approuchabo 	de 	l’	oustaou 									entendet 			lou 													bruch 	das 		musiciens 							et 					"das
            "				dansaïrés								.
53-lang-1309	25	. 											Son 				aïnat 									era 			aï 		can				; 						reben 									et 	couma 				s’				approujaba 	"de
            "	l’	oustaou 									éntén 																	une 	granda 	symphonie 							et 					de 				dansas								.
54-lang-1309	25	. 							Cependan 				soun 		fil 		aïnat 								qu’	ero 			dins 	lous 	camps 									"né
            "	rebenguet 									et 	quant 						fouguét 		prép 	de 	l’	oustal 									ausiguet 			lou 													soun 	des 		instrumens	et 	différentes 	bouésés 	que 	cantabon																			.
55-lang-1309	25	. 							En attenden				soun 		fil 	l’	aïnat 								qu’	éro 			à 	la 	"campagno
            "										revenguét 									é 	coumo 				s’				aprouchavo 	de 	l’	oustar 									entendèguét 			lous 								chans 															é 					"las
            "				dansos								.
56-lang-1309	25	. 							Din aquel ten  				soun 		fil 		ainat 								qué 	era anat 			as 		"cans
            "										revenguet 	dès 	qué 	séguét 	prosa 															dé 	l’	oustaou 									entendet 			la 																musiqua 							é 					"la
            "				dansa								.
57-auve-1239	25	. 							Quand 				l’				eina 								qu’	ere 			ous 		tzons 										venguet 									et 	que 						"fuguet
            "		protze 	de 	l’	oustaou 									ougiguet 									que 		dzouadgion 															et 									dansavoun								.
58-viva-1235	25	. 							Dementré que sé regalavoun	, 			l’				aina 	dos 		garçons 					que 	"ero
            "	aou 	traval							, 						revengué								, 	é 	quon 						fugué 		près 	de 	l’	oustaon									entendegué 			lo 																musiquo 							et 					"lou
            "				donce								.
59-viva-1235	25	. 							Pa man				l’				ainai 								qu’	eiré 			par 	lou 	champs 										reveniots 									"et
            "	quand 						fugueit 		preis 	de 	la 	maison 								ol’	ovissait 											chanta 	et 					lou 		violons																								.
60-prov-1235	25	. 							Dinc aqhel ten 				soun 		fil 		aïna 									ero 			aou 		champ				, 		coumo 			n’en           	revenié 									et 	qué 				s’				aprouchavo 	de 	l’	oustaou					, 				entendégué			lou 	bru 					deï 		cans 															et 				"deï
            "					dansos								.
61-prov-1235	25	. 							Cëpandan 				lou 		filh 		aina 								q’	ëro 			aouë 		cham 										rëvënghë								, 	ë 	"qan
            "						fughé 		procho 	del		oustaou					, 				ëntëndëghé 			lou 													soun 	dës 		estrumëns 							ë 		lou 	bru 	d’		aquëlës 	"që
            "		dansavoun								.
62-prov-1235	25	. 							Dins lou tems  				soun 		fieou 	lou 	magi 								qué 	ero 			à 	la 	"campagno
            "								s’	en 	venié 									a 											l’	oustaou 						et 			entendet 		de luen	leis 																instrumens 							et 		lou 	bru 	"deis
            "					dansaïres								.
63-prov-1235	25	. 							Cependant 				lou 		magé 										qu’	ero 			oun 		camp 										révenguét								, 	et 	"coumo
            "				s’				approuchavo 	de 	l’	oustaoù 									éntendét 			lou 													brut 	de la		musiquo 							et 				de 	la 				danso								.
64-prov-1235	25	. 											Soun 		fis 		éina 									érou 			oou 		tzam																		, 																			é 	quan 		enlendégué 			"la
            "																musique 							amé 					la 				danse								.
65-viva-1235	25	. 							Din aqueou tem 				l’				einé 									éro 			en 		campagno				,		quand				vengué 									et 	que 				s’				approuché 	de 	l’	oustaou					, 				entendigué 		la 	la 																musique 																							et lés chants   	.
66-viva-1235	25	. 							Péndén aqueou tén	, 			soun 		fréré 		aîné							, 	qu’	éro 			és 		chians				",
            "						vingué								, 	é 	lorsqué 						istén 		prés 	dé 	l’	oustaou					, 				intendigué 			la 																musico 							é 					la 				danso								.
67-viva-1235	25	. 						"
              "	"Mai Peina
              "								"einé
             "								qu	ére 			én 		campagne 						coume 		s’	én 	venié 									é 	qu’								approuchave 	de 	l’	oustaou					, 				"énténdé
            "			la																sinfounié							é 					la 				danse								.
69-viva-1235	25	. 							Entroco	, 			soun 				èinè 								qu’	éro 			oou 		tsoms 										révénguè 									et 	"quon
            "						fugué 		près 	d’			orrivâs				, 				oòuvè 			lou 													soun 	dòous 		instruméns 							et 		lou 	bru 	d’		oquelous 	"que
            "		donsavoun								.
70-viva-1235	25	. 											Soun 		garçou 	l’	eine 									ere 			ou 						, 		quant 				fouguec vengu 									"et
            "	que 				se 		fouguec		approucha 	de 	la 	meisou					, 				entendec			la 																musique 							et 		lou 	brut 	de 	"la
            "				danse								.
71-fran-1269	25	. 							Pindin ce tim lé	, 			l’				ainé 	de 	sou 	meniots 					qu’	éteyve 			"u
            "		tsam 					è 					torno 									é	quan 			l’			éz 		uprotzo 	de 	la 	meyzou					, 	è 		l’	a intindu 			de la 																musica 							"e
            "				qu’	on 				dansiéve 								;
72-fran-1269	25	. 							L’èton adî daveron 	, 	quan 					l’	ôtrou 	dèi 		valè 						revin 					deitzan																				Quan 			l’			è 		prî 	dè 	l’	ottô					, 			l’	intandei			dei 																menètrei						",
            "	e 				que 					tzantâvon								.
73-fran-1270	25	. 							Y 				son 		fill 		major 									estava 			en 	la 	camp 				; 	y 	quant 				vingué									"y
            "					s’				acercà 	à 	la 	casa					, 				oygué 			la 																mùsica 							y 					la 				dansa								.
74-fran-1270	25	. 							Ma 				son 		valé 		aîna 									ire 			y 		tzamps 					et 	kemetz 	il 			revagnai 									"et
            "	que 			li 					approtzive 	de 	la 	maison 								il 	entendia 			la 																musiqua 							et 					le 				danses								.
75-viva-1235	25	. 							Ma 							le 	pé grand 	de 		fi				, 	k’	etai 			pé 	lou 	chan				, 						revegnie 								";
            "	pouai 	kan 			y 			fu 		vè 		la 	maison					, 			al 	entendi 									qu’	on 	santâve 															é 				qu’	on 				dansîve								.
76-viva-1235	25	. 							Pourtant	, 			soun 		ënfan 		ëiné							, 	que 	èrë 			as 		champs				, 						revenguë 									ët 	lorsquë 						fougue 		prochie 	de 	la 	meigeoun					, 				ëntendë 			lou 													souen 	"das
            "		instrumens 							et 		lou 	brut 	d’		aqueous 	que 		dansavoun								.
77-roma-1326	25	. 							Ma 				ilg 		filg 		seniur 												à 	la 	campagna				. 						Retornand 																		"vicin
            "	à 	la 	chesa					, 				udil 	el 		il 								chaunt 															et 										l’	allegria						.
78-roma-1326	25	. 							Intant 			era 	sees 	seniur 	filg 														sün 		chianpongia 					et 	cur 	"et
            "			tourneva								, 	e					s’				aprosimeva 	alla 		chiasa					, 				hal dudi			il 																sunaders 							et 									saglir								.
79-lang-1309	25	. 							Per aco 				soun 		fil 		aina 								që 	éro 			per 	lous 	chan 										revengué 									"é
            "	qan 						ségué 		proché 	de 	l’	oustaou 									aouzigué 			lous 																menestriés 							é 					la 				danso								.
81-prov-1235	25	. 							Pour lors	, 			sen 		garçon 	l’	ainsnei 								qu’	était 			és 		camps				",
            "						ervint								, 	et 	quand qu’			i 			fut 		preuche 		la 	maison 					, 			il 	entendit 			lé 																musiqueux 							et 					"lé
            "				danseux								.
82-prov-1235	25	. 							Cependant 				soun 		fieou 	l’	aïné 								qué 	ero 			à 	la 	campagno								s’		entournet 								",
            "	et 	coumo 						fouguet 		prochi 	de 	l’	oustaou 									auset 			lou 													bru 	deis 		"instrumens
            "							et 				d’		aqueleis 	que 		dansavoun								.
83-prov-1235	25	. 							Damentré 				rou so 		fillou 		magé							, 	que 	era 			à 	ra 	campagna				",
            "						révégné 								; 	é 	quand’			ou 			fou 		d’apé		ra 	ca					, 			l’	audité 			ra 																musiqua 							é 		rou 	rouer 	d’		echi 	"qui
            "		balavan								.
85-fran-1270	25	. 							Que 				son 		fés 																																																																																																			
