14-lorr-1242	27	.					Lo	valat			li		djet				:	ça			q’	vote	frere					a ervenu				et		"vote
            "		père		et touét		lo	vè				grès	,				e case qui								let	ervu									bie	potiant								.
15-lorr-1242	27	.	Et		L’aut-ci						li		déhé				:					Vot	frar					at arrivet				et		vot		père		è toi		lo	vey				gras		parcéque										e	lat	reveni								santou										.
16-alem-1243	27	.	Et		stuci						y		dié				:					Votre	frère					ai airivai				et		votre		"père
            "		ai tuait		lo	vés				grécit		poiche quai											la	reveni								sin										.
17-fran-1270	27	.			Cetuci						ly		diegit				:					Veute	frare					ha venu				et		vente		"paire
            "		ai fa saigner		lo	vias				gras		parce qu’										el		a revenu									ben	potschant								.
18-fran-1270	27	.					Lo	volot			li		diji				:					Vente	frère					o revenu			,	a		vente		pere		e fa tua		lo	vé				gras	,	pocho qu’										al		o revenu									bin	pochant								.
20-fran-1270	27	.			C’ô,								disit		-i		,				qu’	vont’	freiro					ô r’venu			,	et		vout’		"pare
            "		ei fà tu	à	lou	vée				gras	,		lou voyan																							pien d’vie						.
21-fran-1270	27	.					Le	vauleu			l’y	raipondai					:	Çà			que	vote	frere					a revenau				et		vote		pere		ai tué		le	veau				gras	,	parcequ’	ai vo qu’	aise																			bé	pote								.
22-fran-1270	27	.					Lou	sarviteur			lie	raipondet					:	ç’		ot	qu’	vouete	frare					ot rev’nu				et		vouele		père		ai tua		lou	viau				gras		parce que											le	revoit					en			santa										.
23-bour-1247	27	.	O ly									répouné					:	y o				voûte	frère	qu’				o reveni			,	et		"voute
            "		père		aî fè tuer		le	viau				gras		que											l’	ai revu									ben	portant								.
24-poit-1241	27	.					Le	vâlé			li	répondi					:					vot’	fraire					estrevangu			,			vot’		paire		o fé tua		le	vedais				grâ						, é coume veï arriba													an			sauta	boune									.
26-poit-1241	27	.					Le	valet			li	répounil					:	Ol		est	que	voutre	frère					est revenut				et		voutre		père		a tué		le	via				gras					à cause qu’							il	te	revoit					en			santé	boune									.
29-poit-1241	27	.					O				l’			est sti fil que								voutre	frère					est vingut			,	et		voutre		père		a fait tuer		le	beudet				gras			l’avisant																							plien de vie						.
30-poit-1241	27	.			Queu		le	valet			ly		dissit								que	voutre	fray					sey entorne				"et
            "		voutre		pere		à fait tue		le	vedé				gras		pr ce qu’										i	l’	a trouvé					en			santé	boune									.
31-limo-1246	27	.			Icheste						li		dicit				:					Voutre	fray					est tourné			,	et		"voutre
            "		père		a fait tué		le	vedeu				gras	,	parce qu’										il	l’	at revut													fiére					.
33-limo-1246	27	.					Lou	vêl			li	reypoundé					:				Qu’ey	votré	fray	qu’				eyé tourna			";
            "	et		votre		pay		a tua		un	vedeou				grais	,	parce quoôu				et ariba													en			santa	bouno									.
34-lang-1309	27	.					Lou	doumestiqué			i	respoundoit					:	Ocoï			qué	vostré	"fraïré
            "					es tournât			,	et		vostré		païré		o tuat		lou	védel				gras	,	persoqué	lou torno véré																"en
            "			sontat										.
35-limo-1246	27	.					Lé	valé			li	repoungué					:					Voutré	frairé			, é coum’hu		é reveingu						vautré		pairé		o fé tua		lé	vedeûe				grâ	,												l’	o retroubé					ein			santé	bouno									.
36-limo-1246	27	.			Aù						ly	reipoundet					:					votré	fraï					eï tourna				et		votré		paï		o tua		lou	vedeû				gras		persé										au		réjauvis	dé cé qué		eïro tourna					sanchier										.
37-limo-1246	27	.					Lou	serviteur			ly	répoundé					:	Goé			qué	votre	frai					"ei révengû
            "				et	qué	voire		paï		a tuâ		un	védeü				gras		parce que										eu	l’	a recoubra					"en
            "			santa	bouno									.
38-auve-1239	27	.					Le	vale					digue				:	Quouec				votre	fraire	que				z’ei veingu			,	"et
            "		votre		payre		z’a tua		le	vede				gras																																.
39-lang-1309	27	.			Oqueste						li		diguet				:					Vostre	fraïre									et		vostre		païre		o fat tua		un	bedel				gras		pel plosé de											lou	reveire			es tournât		ein			bouno	sontat									.
40-lang-1309	27	.			Ocouos								es diguet							et	que	bouostre	frèro					ès bengutè						bouostré		pèro		o facli tua		lou	bedel				gras													lou	bechen												pie de bido						.
41-lang-1309	27	.			Aqueste						ye		diguec				:					Bostre	frero					es tournât				et		bostre		pero		a tiat		lou	bedel				gras							coumo						l’	a récebut					en			bouno	santat									.
42-limo-1246	27	.	É		aqueste a ciou						ly	respounut					:					Boste	fray					és bengut				"é
            "		boste		pay		a eyt tuoua		lou	betét				gras		perceque											l’	a troubat		que se						bien		"pourteoue
            "								.
43-gasc-1240	27	.			Aquet			baylet			qu’eou		digouc				:					Boste	fray	qu’				ey tournât			,	é		boste		pay		a heyt tua		lou	bedet				gras	,	qu’																													de plaze de l’aoüe counserbat	.
44-lang-1309	27	.	É		aqueste						i		diguec				:					Bostre	fraire					es bengut				é		bostre		paire		a tuat		un	bedel				gras	,	parce que											l’	a rebisten									santat									.
45-lang-1309	27	.	Et		aceste						ly	respounec					:					Boste	fray					e benguch				et		boste		pay		a tuach		ech	bedech				gras	,						coumo						l’	a recouvrach					en			bon							estach			.
46-lang-1309	27	.					Lè	serbitou			ly	rèspoundèc					:	Aco		ès	què	bostré	frayrè					ès tournât				et		bostré		payrè		a tuat		un	bedèl				gras		perço qu’										èl	la	rècèpiut					en				santat									.
47-lang-1309	27	.	Et		aquel			baillet			ly		diguec				:					Bostre	fraire					"es tournat
            "				et		bostre		paire		a tuat		le	bedeilh				gras		parce qu											l’	a recouvrat					en			"bouna
            "	santal									.
48-lang-1309	27	.	Et		aquel			baillet			ly		digueg				:					Bostre	fraire					es tournât			",
            "	et		bostre		paire		a tuat		le	bedeilh				gras	,	parce que											l’	a recouvrat					en			"bouna
            "	santat									.
49-cata-1291	27	.	Y				lo	mosso			li		digue				:				lo	teu	germa					es vingut				y	lo	"teu
            "		pare		a degollat		lo	vedell				engreixat		per	aver										lo	rebut					en				salut									.
50-norm-1245	27	.					L’	hallot			y ni	reponnit					:		"Parguié, not’ mait, qué qu’y à, y à 
            "		qu’	vot’	frère	qu’			était parti à couri l’guérout	est r’vénu	à la quittée du jour			et	que	vot’		popa		a fait estrangouillé		son	viau						pacequé						s’n’ éfant						vastant	"était rézou
            "			et				bin										.
51-lang-1309	27	.					Lé	bailél			y		diguée				:	Aco		es		bostré	frairé	qué				es arribat				et		bostré		païré		à fait tua		lé	budel				gras		parcé qué											l’	a rébéts								pla						pourtant				.
52-lang-1309	27	.					Lou	barlet			li	respoundet					:					Bostré	fraïré					es rebengut				"et
            "		bostre		paire		a tuat		lou	budel	lou	pus		gras		parce ques												bengut								pla						pourtant				.
53-lang-1309	27	.					Lou	barlet			ye	respon					:					Bostre	frero					es bengut				et		bostre		pera		a faits tua		un	budel				gras		pasque											l’	o bist								pla						prega				.
54-lang-1309	27	.					Lou	bailel			li	respondét					:	Acos			qué	bostré	fraïré					es rebenguet				et		bostré		païré		a tuat		lou	bedel				gras	,	que											l’	a recapunt					en			"bouno
              "	santat									.
55-lang-1309	27	.	E				lou	barlet			li		diguét				:					Toun	frèro					ès rètournat				é		toun		pero		o tuat		lou	bèdél				gras	,	parce què											l’	o recouvrât					en			bouono	sentât									.
56-lang-1309	27	.	Yé										diguet					acos				vostre	frera	qu’				és révengut				é		vostre		pera		à fach tua		lou	budel				gras													lou	vechen												plé dé vida						.
57-auve-1239	27	.					Lou	veilet			lli		diguet				;	aquos				vostre	fraïre	qu’				es tourna			,	et		voste		païre		o tiua		un	vedé				gras					à caouse qu’									es arriba					en				sanda									.
58-viva-1235	27	.			Oquo és						lou		digue				,				que	vostré	fréro					és vengu			;	e	que	vostré		pèro		o fa tua		lou										per								l'	aver trouba												plé de vido						
59-viva-1235	27	.					Lou	message			li	répoundait						a			que	votrau	frerou	qu’				"é revaingu
            "				et		votrou		peire		a tuïa		lou	vio				gras		par							là morquo				la	ressiopu					"ain
            "				sanda									.
60-prov-1235	27	.					Lou	varié			yé	respoundegué					:			Es	que	voste	fréro					es revengu			,	et		voste		péro		a tua		lou	vedel				gras		per												vengudo						sa		ben										.
61-prov-1235	27	.			Es		lou	varlë			ië		dighé				,				që	vostë	frëro					es rëvënghut			,	"ë
            "		vostë		përo		a fa tuia		lou	vedaou				gras	,	parço që											lou	rëvëi					ën				santa									.
62-prov-1235	27	.			Aquestou						li		diguet							:		Vouestre	fraïré		cadet			es deretour			,			vouestré		païré		a fach tua		lou	vedeau				gras		parce que												es revengu					en				santa									.
63-prov-1235	27	.			Aquestou						li	respoundét								:		Vouastré	fraïré					es retournât				et		vouastré		païré		a fa tua		lou	vudeou				gras	,	parce qué												és retournat					en				santa									.
64-prov-1235	27	.	Yé										digué				:					Vosté	frère					éï vengu			,	é		vosté		père		a tuïa		lou	vedeou				gras	,	parcéqué											lou	révéï												plen de vide						.
65-viva-1235	27	.					Lou	varié			li	respondé								:		Vouasté	freré					ei vengu				et		vouasté		péré		a fa tua		lou	védeou				gras													lou	vézen dé retour	,				en				santa									.
66-viva-1235	27	.	És								li		digué							:	Qué	vouasté	fréré					ei vengu			,	é	qué	vouasté		péré		a fa tua		lou	vedéou				gras													lou	véién												plén dé vido						.
67-viva-1235	27	.			Aqués						li		digué				:					Toun	frairé					es véngut				é		toun		pairé		"a tua
            "		lou	védéou				gras		perqu’												es   arriva								bén								gayar		.
69-viva-1235	27	.	Ei				lou	serviteur			li		dicèt									votré	fréré	qu’				ei révéngu			,	et		votré		péré		o tua		lou	vèou				gras		dé cé qué											lou	révé								bién						pourtont				.
70-viva-1235	27	.			Aqueou d’éici						li		dissec				:					Voueste	frère					es vengu			,	"et
            "		voueste		père		a fach tuar		un	veou				gras	,	parce que											l'	a revist					en			"bouene
            "	santa									.
71-fran-1269	27	.		È l’ey, ley y ate det,							L’è										que	voutrom	frère					è torn				é	que	voutrom		père		a fé toà		le	vè				gra													le	vèyin												plin de via						.
72-fran-1269	27	.																				voutron	frârè	qu’				è revégnâ			;	è		voutron	sègno l’			a fà a tiâ		le	vi				grâ										pe l'amo que			l’	è revegnâ					in			bouna	sandâ									.
74-stan-1289	27	.	Y		aquest						li		digué				:					Ton	germà					ha vingut			,	y		tou		par		cha fet matar		la	vadell				gras	,	perqué											l’	ha recobrat					ab				salut									.
75-fran-1270	27	.			Stice	l’ai déjà											:					ton	frare					é venu				et		ton		paire		a tia		"le
            "	vai				gras		parce que											l’	a recauvra					en			bouna	santé									.
76-viva-1235	27	.																				Voutron	frare					é revegniu		,lui desirunt-y, é	,			"voutron
            "		pâre	al	a fe thua		le	vé				gra		qui											l’	a vû revegni					an			bouna	santa									.
77-viva-1235	27	.					Lou	sarvitourli				respoundë					:			Es	que	vouste	frèrë					es rëvengu			,	ët		voustë		pèrë		a tua		un	veou				gras	,	parcë quë											l’	a recoubra					en			"bouene
            "	santa									.
78-roma-1326	27	.			Tel							respondet				ad el	:					Tieu	frer					ais return				e		tieu		bap		ho mazzo		ün	vdé			in	grascho	,	perche										el	l’	o arfschieu							darchio		saun									.
79-roma-1326	27	.	Et		less								ha dit			ad el	:					Tees	fràr					eis vengn				et		tees		"bap
            "		ha mazzà		ün	vadee				ingrascha	,	perquei chia										el	il	ha ritschavü									sang									.
80-lang-1309	27	.					Lou	messajhé			li	respoundeguet					:	Aco 		es	që	voste	"frero
            "					es revengut				é		voste		pero		a tuiat		un	vedel				gras	,	persoqë											l’	a recouvrat					en			"bono
            "	santa									.
81-fran-1269	27	.					Le	dyèrsshon			lei		deje							:	Li’è	vousshron	frâre											vousshron		schèna	"li’
            "	a fei tiâ		le	vî				grà			"que li’ è prî et po schin que li’
            "											è rèvegnu	in dzouyo,et				in				schindâ									.
82-poit-1241	27	.							Nout’ mouëtre quo d’cit le drôle, oll est													vout	"frère
            "	qui				est rondu			,	et		vout’		père	l’	a fouet tuaie  		le	véà															A-t-été si aise de 		le	veure			que					bé						porton				.
83-prov-1235	27	.	Et								li		digue							:		Vouosté	fréro	qu'				és vengu				et		"vouostré
            "		pero		a fa tuar		lou	vedeou				gras													lou	vesen												plein de vido						.
84-norm-1245	27	.					L’	domestique			li	réponit					:	Ch’		est		votte	frère	qu’				"est r’venu
            "				et		votte		père		a tuai		un	viau				gras	,	pace qu’										i	l’	a r’trouvai								"ben
            "						portant				.
85-prov-1235	27	.					Lou	varlet			li	respoundet					:			Es		vouestre	frero	qu’				es revengut     				et		vouestre		pero		a tuat		lou	vedeou				gras	,	perce que											l’	a vis					"en
            "				santa									.
86-prov-1235	27	.					Rou	valletou			gué		diché							:	Le qué	vostrou	frai					é vignuou			,	é		vostrou		par		a tuaou		rou	veder				grassou		parcé qu’ou											la	vistou					en				sanitaé									.
