1-stan-1290	20	. 				Il 		se 				leva 			donc 		et 								vint 	trouver 			son 	père 	; 															et 	lorsqu’	il  		"était
            "		encore 			bien 	loin					, 						son 	père 					l’			aperçut 										et 											en 	fut 				"touché 
            
             "		de 	compassion										; 	et	, 										courant 		à 				lui			, 			il 	se 		jeta 	à 		son 	cou 		et  																		le 	baisa 				;
12-lorr-1242	20	. 				Y 		se 			donc 	levaye 					et 		s’		en 		ait 		venain 	trevaye 			seu 	"pairre
            "																et 	quant 	l’		oteu 		enco 			bain 	long					, 						seu 	pairre 					l’			aipairçut																		el 			en 	aiveut 							pitié										; 	"et
            "											courant 		ai 				lu			, 			y 	sé 		jéttaye 	ai 		se 	caut 		et 		lé 	émbréssi																				.
13-lorr-1242	20	. 				I 		se 				leveu 			dont 		et 		s’		en 				alleu 	trover 			so 	pere 	; 															et 	"quan
            "	l’		ato 		ca 			bin 	lon					, 						lo 	pere 					l’			epperceuveu									, 									so cœur 				fut 				touchi 		de 	compasion 													i 									coreu 													se 		jeter 	è 		so 	co 		et 		lo 																	baheu				.
14-lorr-1242	20	. 				I 		s’				lovet 			don 		et 								venet 	trovet 			so 	père	, 															et 	qua 	l		éta 		"ca
            "			bi 	lon					, 						so 	père 					lo 			r’conchi										et 												lano							pitié										, 	et 											courant 		è 				lu 			, 			i 	s’		jetet 			"so
            "	co 		et 		l	abresset																				.
15-lorr-1242	20	. 	Et 					sé 				lévé 			don 		et 								véné 	trovet 			so 	père 																								et d’in peu 		"lan
            "											so 	père 					lo 			heché 										et 												fet 				lochié 		de 	compassion 											et 											corré 		et 				li 				et 			sé 		jetté 	é 		so 	"cœu
            "		et 		lo 																	bahé				.
16-alem-1243	20	. 	Ait 					se 				ieuvai 			donc 		et 								vai 	trovai 			son 	père	; 															et 	lors quet	l’		était 		encoi 				loin					, 						son 	père 					l’			aiperçu 										et 								ai 				fut 				touché 		de 	compassion 											et 											fié 		ai 				"lu
            "				et 			se 		champai 	ai 		son 	co 		et 		le 																	baijai				.
17-fran-1270	20	. 	A 					se 				leva 			don 		et 		s		on 				arra 	trova 			son 	paire 																à 	quemon qu’          	al 		eta 		oncoir 				loig 		de 	l’	ota	, 						son 	paire 					fet 			vu 										et 												fut 				toutchi 		de 	pidié 																						ala	fua 	à 		devant 	de 	lu 				et 			sa 		schampa 	à 		son 	queu 		et 	a 	l’	ombrassie																				.
18-fran-1270	20	. 						S’		etant 	donc 	leva 					a 		s’		en 				alli 		à 		son 	père	: 																quement 	"al
            "		éta 		oncoire 				loué					, 						son 	père 					lo 			voyi									, 													fut 				touchi 		de 	pidie																															, 	a 	fu 		se 		champa 	à 		son 	coeu	,        	a 		l’	embrassi																				.
19-fran-1270	20	. 										Revenant 			donc 												chie 		sô 	pere 	; 																quand 	et 		etoit 		enquoi 			"bie
            "	loin					, 						so 	pere 					lo 			voyeut 																										touchie 		de 	pitié 										, 	et 											coureut 				devé 		lû			, 				l’y		sauteut 	au 			cô 		"et
            "		l’	embresseut																				.
20-fran-1270	20	. 	E 					s’				Ievi 			don	, 	peu 		s’		en 				élit 	treuvâ 			son 	pare	, 															mâ 	"quand
            "	el 		ètô 		encou 			bin 	loin					, 						son 	pure 					l’	ou		vit										et 								lou cueu 		li 						seinit 			lâmoi										, 	èl 											"ècourut
            "																		et 					l’	eimbressie 														e 	lou 	bagie				.
21-fran-1270	20	. 	Ai 					se 				levai 			donc 				et 						vin 	trauvai 			son 	pere	, 															et 	com 	ai l’   		aitot 		enco 			bé 	loin					, 						son 	pere 					le 			reconnaussai 										et 								ai 		l’		eneù 			bé 	gi 			andeu										, 												courai 		ai 				lu			, 			y 	se 		jettai 	ai 		son 	coeu 		"et
            "		l’	embressai																				.
22-fran-1270	20	. 				Y 		se 				levait 			donc 		et 		s		en 				vint 	trouva 			son 	père	, 															"et
            "	lorsque 	l’		éta 		encou 			bin 	loiu 											son 	père 					l’			aipparçut 										et 											en 	fut 				touchié 		"de
            "	compassion										, 	et 		ai 									courant 		ai 				lu 							se 		jettet 	ai 		son 	coue 		et 																		lou 	baisa				.
23-bour-1247	20	. 				O 		se 				bouté 	en 	semin 			et 	o 							vené 		vez 		son 	père 	; 															mas 	"coume
            "	ol 		étot 		eucoôre 		ein peuçot 		loin 		de	lu		,						son 	père 					l’			aiparsevé 										et 								ol 			au 	oeu 							pitié 										: 											"o
            "	couré						vias			, 			o 	se 		zélé 	ai 		son 	cou 		et 	o 	l’	ambraissé																				.
24-poit-1241	20	. 				Eux 						quitte				, 	é 								vais 	trouva 			son 	paire	. 															Malgré qu’		eux 		"fiss
            "		enkerre 				loin					, 							paire 					le 			recounaiguebé 									! 																	toûcha 		de 	compassion										, 			eux 									courr’		a 				li			",
            "				se 		jetf 	à 		son 	eau 		et 		l’	embrasse 		de 	bien 	bon 	cœur															.
26-poit-1241	20	. 				I 						partit 			don 		et 		s’		en 				fut 	trouver 			son 	sô 	; 																coume 	"il
            "		était 		encore 			bin 	leugné					, 						son 	père 					l’			avisit									; 									il 		li 		fasit 							pitié										, 			i 									courit 		à 				li			",
            "				se 		jettit 	à 		son 	cou 		et 		l’	embrassit																				.
29-poit-1241	20	. 				Il 		se 				levit 			don 		et 						partit 	pre 	aller 	trouver 			son 	père 	";
            "															mais 	alors ch’	il 		étoit 		encore 				leung 		de 	ly																																																								, 			il 									accourit 																							l’	embrasser														et 	"le
            "	baisit				.
30-poit-1241	20	. 				Y 						partissit 			don	, 	et 		se 		n’				anguit 	trouver 			son 	pere	. 																"Quan
            "	y l’		eytet 		encore 				louen					, 						son 	pere 					l’			appercevit									, 	et 																touché 		de 	compassion 													y 									courrit 		"à
            "				ly			, 				se 		jitit 	à 		son 	cou 																			et 	le 	biquit				.
31-limo-1246	20	. 				I 		se 				levit 			don	, 	i 								vinguif 	trouvé 			son 	père	. 																Coumme 	"il
            "		était 		encore 				leugn					, 						son 	père 					l’			apercevit 									: 																		plein 	de 	compassion										, 	et 											courran 		"ou
            "		devan 	de 	ly			, 			i 	se 		jitit 	à 		son 	cou 																			et 	le 	bicquit				.
33-limo-1246	20	. 				Oôu 						parte 			doun	, 	et 		s		en 				vegue 	troubais 			soun 	pay 	; 																	"oôu
            "		éro 		enquéro 			ossez 	louen					, 						soun 	pay 					l’			apercegué									, 	et 	d’	abort 	qu’	oôu 	lou 	vit		oôu 				fugué 				toucha 		de 	compassion										, 	et 											couren 		à 				se			, 			ôou 	se 		djiété 	a 		soun 	coôu 		et 																		"lou
            "	biqué			.	
34-lang-1309	20	. 										Portiguoit 			doun 		et 								venguoit 	trouva 			soun 	païré	. 																			"Ero
            "		enguéro 			bien 	loun					, 						soun 	païré 					l’			opercéguoit 										et 												fuguoit 				toucat 		"dé
            "	compossiou										, 	et 											courréguoit 		od 				el			, 				se 		tzitoit 	o 		soun 	col 		et 																		lou 	bicoit				.
35-limo-1246	20	. 				Hu 						boujo 					é 								vais 	trouba 			soun 	pairé	. 																Quoiqu’	hu 		"fisso
            "		einkeira 				louein					, 	é 		Irâvû 	per 		eue 	paire 																		qu’								a qui 				fê fê 				pitê													, 			lé pairé 									courr’		"à
            "				li			, 				li 		souto 	où 			caw 		é 	t	l’	embrasso 		dé 	tou 	soun 	cœur															.
36-limo-1246	20	. 				Aû 		sé 				lévét 					et 								vinguet 		vers 		soun 	paï	, 																	aû 		érô 		dengéras				loen 											soun 	paï 					lou 			véguet 										qué 																toucha 		de 	piéta 																						courguet 		vers 				sé			, 				"ly
            "		sautet 	aû 			caû 		et 																		lou 	beiget				.
37-limo-1246	20	. 				Au 						parti 					et 		s’		en 				vengué 	troubâs 			soun 	paï	. 																Lorsqué 	"au
            "		erô 		enquéro 			bien 	loin					, 						soun 	paï 					l’			apperséqué 										et 											n’en 	fugué 				toucha 		de 	coumpasseû										, 	"et
            "											courent 		à 										au 	sé 		gitté 	à 		soun 	caü 		et 																		lou 	biqué				.
38-auve-1239	20	. 				lau 		se 				levô 					et 		s’		en 				vai 		vé 		son 	payre 	; 															ma 	quan 	yau z’		ero 		einquera 				liouan 											son 	payre 				sé 	le 			vegué									, 																																										courrigué 		vé 					son 	garçou	, 						sauto 	à 		"sou
            "	couaï 		et 																		le 	boucisé				.
39-lang-1309	20	. 				Heil 													s’							intornet 	xia 		soun 	païre	, 																		n’	ero 	pas 	"inqueros
            "				orrivat 											lou 	paire 					lou 			v’guet									, 												n’	auguet 							piotat										, 			li 									"corre-guel 
"																ol 			col 		"et
            "		l’	eimbrosset																				.
40-lang-1309	20	. 						Se 				lebèt 			dounc 		et 						portiguet 	per 	ona 	trouba 			soun 	"pèro
            "																mès 		el 		ers 		encaro 				luèn 											soun 	pèro 					l’			opperçoupet 										è 																toucat 		de 	coumpossion																						correguet 																							l’	embrossa 														et 	ion 	poutonnecha				.
41-lang-1309	20	. 		D’aquel pas 							dounc 	met 	en 	cami 										per 		tourna 	chet 		sout 	paire	".
            "																			Ero 		encaro 				lenc 											soun 	païre 					lou 			bejen 	tourna 																					fousquet 				toucat 		de 	coumpassieou 											"e
            "		ye 									courrec 		à 	l’	endaban 								ye 			saoutec 	al 			col 		e 		l’	embrassec																				.
42-limo-1246	20	. 						Se 				lioét 					é 								bengut 		a 		soun 	pay	, 																coume 			ère 		encare 				louyn											soun 	pay 					lou 			bit 										é 												agut 							coumpassiou 																						courrut 		à 				ét			, 				se 		jitet 	à 		soun 	cot 		é 		ly 												"baillét
            "	un 	poutoun							.
43-gasc-1240	20	. 				Que 		se 				lëouec				, 	é 	que 							bengouc 		enta 		soun 	pay	. 																																				Soun 	"pay
            "				que 	l’			apercebouc 		de 	louy						, 	qu’											en 	aougouc 							piatat										, 	qu’		eou 									courrouc 		aou 		daouant					, 	"que
            "					caijouc 	entre 		sous 	brassis	, 	é que 		l’	embrassec																				.
44-lang-1309	20	. 	É 				en 	se 				leban 							s’		en 				anec 		bers 		soun 	paire 																é 	coumo 			"ero
            "		encaro 				lenen 					, 						soun 	paire 					le 			bejec 										é 												fousquet 				toucat 		de 	compassiou										, 	é 										en 	courren 												"i
            "			toumbec 			sul 	col 		é 		l’	embrassec																				.
45-lang-1309	20	. 	Et 					se 				leüan 							s’		en 				ba 		bers 		sou 	pay 	; 															or 	coumo 			éro 		"encaro
            "				louein					, 						sou 	pay 					le 			bezec 										et 												huch 				toucat 		de 	compassion											et 					tout 					en 	couren 		bers 				"ech
            "						anec 			caje 	à 		son 	coch 		et 																		le 	baizec				.
46-lang-1309	20	. 				El 		se 				lèbèc 			doun 		et 		s’		èn 				bènguèc 	trouba 			soun 	payrè 	; 															"et
            "						encaro 	èro 		pla 	lèn					, 						soun 	payré 					l’			appersèbéc 										et 											ne 	fousguèc				toncat 		de 	"coumpassiou
            "											et 											galoupèc 		à 				èl			, 				se 		jettèc 	à 		soun 	col 		et 																		lè 	bayzèc				.
47-lang-1309	20	. 	Et 					se 				leban 							s’		en 				benguec 		en co de 		son 	paire	. 																"Coumo
            "		n’	ero 		encaro 				leng					, 						son 	paire 					le 			begeget 																						fousqueg 				toucat 		de 	compassiou										. 	Et 										"en
            "	courrien 		al 		devant 	del				, 				s’	y 	jetec 	al 			col 		et 																		le 	baiseg				.
48-lang-1309	20	. 	Et					se 				leban 							s’		en 				benguegen 		code 		son 	paire	. 																Coumo 		n’	"ero
            "		encaro 				leng					, 						son 	paire 					le 			begeg 										et 												fousqueg 				toucat 		de 	compassion 											et 										en 	courrien 		"al
            "		devant 	del				, 				sy 		jetec 	al 			col 		et 																		le 	baiseg				.
49-cata-1291	20	. 	Y 									alsant-							se 						trobar 	trobar 		lo 	seu 	pare 	; 																			era 						"lluny
            "	encara				, 					lo 	seu 	pare 					lo 			vege									, 									y 				mogut 						de 	misericordia										, 					vengue 							corrint 												"y
            "			caïgué 	al 		seu 	colt	, 	y 																			besa 	son fill			.
51-lang-1309	20	. 	Et 	àlabétz 				sé 				lébéc 			doun 				et 						courrisquéc 		beis 		"soun
            "	païré	, 															et 				éro 		encaro 				lénc					, 						soun 	païré 					lé 			béjéc									, 													fousguéc				toucat 		"dé
            "	coumpassiéou										, 	et 											courrisquéc 		bés 				el 						y 			sautée 	al 			col 		et 		l’	embrassec																				.
52-lang-1309	20	. 	Et 																s’		en 				anet 	trouba 			soun 	païré 																et 	coumo 			ero 		"encaro
            "				liont					, 						soun 	païré 					lou 			veget 										et 												siaguet 				toucat 		de 	coumpassiou 										, 	et 											"courriguen
            "		aï 		daban 	d’	él			, 				se 		gitet 	à 		soun 	col 		et 		l’	émbrasset																				.
53-lang-1309	20	. 						Se 				léba 					et 		s’		en 				bai 	trouba 			soun 	pera 	: 																		n’	éra 		incaro 			pla 	lion 					; 						soun 	pera 					lou 			beget 																		et 		lou 						planguet													, 										ly 		courris																				, 			l’	embrassa						, 	lou 	sarra	, 	"lou
            "	mange 	de 	poutous							.
54-lang-1309	20	. 										partiguet 			doun 		et 		s’		en 				benguet 	trouba 			soun 	païré	, 																		n’	"éro
            "		encaro 				lén 											soun 	païré 					lou 			besquet 	béni								, 	et 																toucat 		de 	compassieû 																						coureguêt 		"bés
            "				el			, 				se 		jetet 	a 		soun 	col 		et 		l’	embrassai 	tendromen																			.
55-lang-1309	20	. 										Parliguét 			donne 		é 								venguét 		à 		soun 	pero	; 															é 	coumo 			"ero
            "		encaro 				luen 											soun 	pero 					lou 			veguét 										é 												fouguét 				touccat 		de 	pietât 											é 										en 	couren 		a 				el 							"si
            "		jettét 	à 		soun 	couol 		é 		l’	embrassét																				.
56-lang-1309	20	. 						S’	en 			anet 			doun 		é 								venguet 		ver 		soun 	pèra	, 															mais 				éra 		"encara
            "			ben 	yen 											soun 	pèra 					l’			aperçeguet 																						séguet 				toucat 		dé 	coupassioun 																						couris 		ver 				el 															"et
            "		l’	embrasset																				.
57-auve-1239	20	. 						S’	en 			anet 					et 								venguet 	troubar 			soun 	paire 	: 																																				soun 	"paire
            "					l’			aviset 		de 	louin						, 												n’	aguet 							pietad 											et 				se boutet 						à 	courre 		enve 				zei			, 				lli 		soutet 	"ei
            "			couei 		et 		l’	embrasset																				.
58-viva-1235	20	. 		Sur aquo 				sé 				levé				, 	e 								ané 	trouba 			soun 	pèro 	; 																			éro 		"encaro
            "				louon					, 						soun 	pèro 					lou 			végué									: 									Oquel drolé 				fague-ton						dé 	piéta 	à 	soun 	paouré 	pèro	,          	qu’	oqueste 	d’	aïci 						sé mété 						o-	couré										per 			li 		saourita 	au 			couol	, 	e 		l’	émbrassa																				.
59-viva-1235	20	. 				O 		se 				surzissait 					et 								venguait 		à 		soun 	peire 	; 															mai 	"coume
            "			oférait 		incare 			biein 	luïn 											soun 	peire 					lou 			veguait 										et 											ein 	preiguait 							coumpassio’											et 					touts 						courrant 													l’	y 	sauttait 	au 			cohé 		et 		l’	einbrassait																				.
60-prov-1235	20	. 						Se 				levé 			doun 									per 	ana 	trouva 			soun 	péro	, 																			éro 		encaro 			"ben
            "	yeun 											soun 	péro 					lou 			véghé 										et 																touca 		de 	piata 															se métégué 						à 	coure									, 			yé 			saouté 	"aou
            "			col	, 	et 													yé 	faghé 	de	poutouns							.
61-prov-1235	20	. 						Sé 				lëvët 			doun 		ë 		s’		ën 				anët 	trouva 			soun 	përo	. 																Coumo 			"ero
            "		ëncaro 				liéun					, 						soun 	përo 					l’			apercëghë 										ë 																touca 		dë	coumpassioun 													ië 									courëghé									, 				se 		"jhité
            "	à 		soun 	col 		ë 		l’	embrassé																				.
62-prov-1235	20	. 						Si 				levet 					et 								venguet 	troubar 			soun 	païré	, 															et 				ero 		"encaro
            "			ben 	luein 											soun 	païré 					lou 			véguet 	venir								, 	et 												si senten 				touquat 		"de
            "	compassion 															se mettet 						à 	courré 		à 					sa 	rescontro 					li 		sautet 	oou 			couï 		et 		l’	embrasset																				.
63-prov-1235	20	. 		Su lou croou 								partét 					et 								venguét 	trouba 			soun 	païré 	";
            "																coumo 			éro 		encoro 				luench 		d’	éou 								lou 	païré 					lou 			véguet 										et 																toucat 		de 	"coumpassien
            "																						ven 	vité 								, 				si 		pendé	à 		soun 	coual 		et 		l’	embrasso																				.
64-prov-1235	20	. 						S’		estén 		léva				,									vengué 		ver 		soun 	père	, 															maï 	quan 			"érou
          "		encare 				yeun					, 						soun 	père 					l’			appercévégué 										é 																touca 		dé 	"coumpassioun
            "																						courrigué 		à 					sa 	rescontro															l’	embrassa 														é 	lou 	béïsé				.
65-viva-1235	20	. 	Et 					sé 				levant 													ané 		vey 		soun 	péré 	; 																			éro 		encaro 			bén 	bien					",
            "						soun 	peré 					lou 			vézen 																						se sentigué 				eimougu 		de 	coumpassioun 											et 											courriguen 		vés 				"eou
            "							se 		jîté 	à 		soun 	couai 		et 		l’	embrassé																				.
66-viva-1235	20	. 						Sé 				lévé 			don	, 	é 								vingué 		veï 		soun 	péré 	; 															mé 																					"soun
            "	péré					l’			apercégué		dé 	luén						, 													fugué 				touchia 		dé 	counpassioun										, 	é 											courigué 																							l’	enbrassa 														"é
            "	lou 	beisé				.
67-viva-1235	20	. 	Et 					sé 				lévan 													véngié 	trouba 			soun 	païré 	; 																		n’	érie 		enca 				"luén
            "											soun 	pairé 	qu’	éspinchave 			lou 			végué 	véni 									é 												figué 				esmoougu 		dé 	counpassien 															sé boutan     	"
              "					à 	courre									, 						toumbé 	su 		soun 	couéi 		é 																		lou 	béizé				.
68-viva-1235	20	. 													Adoun 										vinguel 		vès 		son 	pèret	, 															et 									d’autant 	loin 											"son
            "	péret 					lou 			véguet									, 												n’	aguet 							pitié 																															; 				gli 		sautel 	au 			couà 		et 		l’	embrassoit																				.
69-viva-1235	20	. 						Sé 				lévè 			dounc 		et 		s’		en 				vénguè 		véz 		soun 	péré 	; 																			éro 		"éncaro
            "			très 	lén					, 						soun 	péré 					lou 			végué 									; 									sas ontraillâs 			n’en 	fuguéroun 				èïmuàs 		"de
            "	coumpossioou 											et 											couront 		oou 		dovont 	d’	ellou			, 				l’		orropè 	dins 		sous 	bras 		et 																		lou 	"bèisé
            "		téndromént		.
70-viva-1235	20	. 										Partec 													vengut 		veis 		soun 	père	; 																			ere 		encare 				luenc 											"soun
            "	père 					l’	aiant 		vist									, 												n’	aguec 							pieta 											é 		et 		se bettent 						à 	courre 													se 		jettec 	à 		soun 	couel 		"et
            "		l’	embrassec																				.
71-fran-1269	20	. 	É 					s’		est 		lévò 					et 						é 		venu 		vers 		son 	père 	; 															mais 	quan 	l’		"eyre
            "		encor 				luin					, 						son 	père 					l’	a 		apperçu									, 																	totchia 		de 	compachon																					l’a 	coru 																							l’	imbrachè 														"è
            "	l’	a béja				.
72-fran-1269	20	. 		D’abo 		ye 		s’		è 		lèvâ	, 						l’				è 		zelâ re 		contre 	l’		ottô 	; 																	l’		ètei 		"adi
            "			bi 	liin 											son 	père 					là 		dzo 	yu				, 	è 	l’	a 	recognu	. 											L’	an 	d’è 			zu 	totzî 													; 			lei 		"yè
            "							corei 		à 					son 	rincontro	, 				se lei 	y	a sautâ 	au 			coû 		ê pu 		l’	a imbransî																				.
73-fran-1270	20	. 	Y 									alsantse 							sen 						vingué 		à 		son 	pare	. 															Y 	quant 			estava 		"encara
            "				lluny					, 		lo 	vegé 			son 	pare																	, 	y 																			se compadesqué 										: 	y 											corrent		à 				ell 							li 		tirà 	all 			coll’																				yl 	besà				.
74-fran-1270	20	. 		Dinse dan 		il 		se 				leva 					et 								vegna 		vers 		son 	paire 																et 	"kemen
            "	liir 				oncora 				on bon tro					, 						son 	paire 					le 			ve 										et 										l’	ai en 	fe 							mô										, 	et 											corecha									, 				s’		"acouilla
            "	contre 		son 	cou 		et 																		le 	béja				.
75-viva-1235	20	. 	Y 									moda 			don	, 	é 								vegné 		vé 		son 	pâre	, 																																										le 			vesai 	vegni 	"de
            "	liun						, 																																			se bouta 		à 	pliora	, 	li 		corri 				dessu																, 	pouai 																		le 	baisa				.
76-viva-1235	20	. 										Partë 			dounc 		ët 		s’		en 				vënguë 	troubar 			soun 	pèrë 	; 																lorsqu’			èrë 		encare 			bèn 	luenc					, 						soun 	père 					l’			appercevë 										ët 											n’en 	fouguë 				touchà 		"de
            "	coumpassioun 											ët 											courrient 		à 				éou 							se 		gittë 	à 		soun 	couel 		ët 																		lou 	bëigë				.
77-roma-1326	20	. 				El 						partit 					et 								gnit 		tiers 		sieus 	bap 	: 																			siand 		aunchia 				dalonsch							il 	vezet 			sieu 	bap																	, 													as 							compassionand										, 												currit 		el 						incunter 													al 			brancler 																bütscher				.
78-roma-1326	20	. 	Et 	alvond												, 			sü 		eis 		el 		vengni 		pro 		sees 	bap 	; 															ma 	cura 	"el
            "		éra 		amò 				dalônsch					, 	schi 	il 	vezet 		el 	sees 	bap 																		et 												muainta 						da 	comiseratiun 											hé 		el 									"curri
            "		ad 				el 															"et
            "		l’	ha imbratschà  														et 		büstcha 	el			.
79-lang-1309	20	. 										Sourtigué 			doun	,	é 		s’		en 				vengué 	trouba 			soun 	pero	, 															é 	"qan
            "			éro 		encaro 			bé 	yeun					, 						soun 	pero 					lou 			veguet 										é 								soun cor 			n’en 	seguet 				émaougu 		"de
            "	coumpassion 										; 	é 										esten 	couregut 		à 	soun 	davan					, 				se 		jettet 	à 		soun 	col 																			é 	"lou
            "	poutounejé				.
81-prov-1235	20	. 		La d’sus	,	i						partit 					et 		s’		n’				allit 	trouvai 			sen 	père	. 																	Il’		tait		co 				loin					, 						F 	bonhomme 					l’			aperchut									, 										cha 	li 		fit 							piquiet										",
            "	i 											courut		à 				li			, 				li 		saôtit 	au 			co 		et 		l’	embranchit 																				:
82-prov-1235	20	. 						Si 				lévet 			donc 		et 								venguet 	troubar 			soun 	pèro 	; 															et 	"quand
            "			éro 		encaro 			ben 	luen 											soun 	pèro 					lou 			veguet 	venir 									et 								seis entraillos 				"S’est
            "				enemoougudas 		de 	coumpassien 																						couret 		aou 		davan 	d’	eou			, 				si 		jietet 	à 		soun 	couelé 		"et
            "		l’	embrasset																				.
83-prov-1235	20	. 				Ou 		sé 				lévo 			douca 		et 		sé 		né 		végué 	a 		trovar 			so 	par 																"et
            "	quandou 			fera 		encour 			ben 	longi					, 						so 	par 					ou 			viche 										é 											ou 	fou 				toucaou 		"de
            "	coumpachioun 										; 	é 											courrendou 		a 		er 		ou 							se 		gitta 	à 	rou 	so 	colou 		é 																	ou 	rou 	baja				.
84-high-1290	20	. 																							alla 	trova 			son 	père 		et 	gli 	confessa	la 	faute 	qu’	él 	"aive
            "	faîte 	; 						quant 	él 		iére 		encoré 			bein 	liai					, 						son 	père 					l’			aperçou									, 	et 												étant 				totschie 		"de
            "	compassion										, 			él 									corrout 		à 				gliou 															et 			fèbrassa																				, 
85-fran-1270	20	. 																							alli 	trovê 			son 	père 		è 	yi 	confessé 	lè 	fâte 	qu’	èl 	avait 	fait	. 							"Èl
            "		était 		enco 			bin 	loin					, 						son 	père 					le 			voyét 	veni 								; 	èl 											en 	eut 				sche 			pidie 											qu’		"èl
            "									rittét 		en 					sé 	rencontre 													è 		el	embraisset																				
81-fran-1270	20	. 																							allai 	trovai 			son 	père 		et 	li 	confessai	la 	faute 	qu’	al 	"avait
            "	fait	. 						Come 	al 		ère 		incore 			bin 	lién											son 	père 					le 			vô 										et 												étant 				totschie 		de 	compassion										, 			al 									foua 		var 				liu 															"et
            "		l’	abrassa																				, 
82-fran-viva	20	. 																							alla 	trovâ 			son 	pâre 		a 		"confessâ
            "	sa 	faute 												al’		était 		encou 			bin 	lin 											son 	pâre 					lo 			voyait									, 	al 										yo 		fasaît 							pidie										, 			al 	"y
            "								ollait 		y 		devant 																	a 		al 	obrassait 																				:
