47-lang-1309	14	.	Et	quand		ageg										tout	despensat					,		arribeg				una	granda	famina	dins	aquel	"pais
            "			et	el				commenseg	d'	estre						en				nécessitat																			
48-lang-1309	14	.	Et	quant		ageg										tout	despensat					,		arribeg				una	granda	famina	dins	aquel	"pais
            "		,	et	el				coumenseg	d’	estre						en				nécessitat																			
49-cata-1291	14	.	Y	despres	de a ver											tot	malesmersat							vengue					forte	fam	en	aquella	païs	part de	,	y	ell mateix				commensa	à	famejar																													
51-lang-1309	14	.	Et	quand		ajéc										toutosa	acabât	fourtuno bénguée						tarriplo				"uno
            "		famino	dins	lé	pays	ount éro	,	et						sé	béjéc																					"réduit él mêmes à la camiso
            "								
52-lang-1309	14	.	Et	apres	qu’	aget										tout	despensat					,		benguet				uno	"grando
            "	famino	dins	aquel	païs			et					coumencet	d’	estre					dins	lou				besoun																			
53-lang-1309	14	.		Quand		aget										tout	acabat					,		arribet				una	Granda	famina	dine	aquel	païs			et	el				coumencet																					à pati										
54-lang-1309	14	.		Aprép	qu’	ajet										tout	despensat					,		arribet				uno	grando	"famino
            "	dins	aquel	païs			et	el				coumencet	a	senti		toutes				lous				besouns																			
55-lang-1309	14	.		Après	qu’	aguét										tout	despensat							arribét				uno	grando	"famino
            "	din	aquel	peïs			é	el				commencét	d’	éstrè		dénuat			din	l'				endigenço																			
56-lang-1309	14	.		Après	qu’ou	aget										tout	dissipat					,		survenguet				une	"granda
            "	famina	din		peys			é	el				séguet		talamen					de	tout																							
57-auve-1239	14	.		Quant		aguet											atchaba					,	y	aguet				una	grande	tchares	dins	aquei	pays			et												zei	aviot				fon																			
58-viva-1235	14	.		Quon	ou	agué											touldéigalaubea					,		vengué				uno		famino	"dins
            "	oquel	poïss			é	li						troubé					de	tout				desana																			
59-viva-1235	14	.		Quant	ol’	oguait										tout	achaba							avainguait				una	"granda
            "	famina	ein	quelou	patiis			et	o				commençait	a	eitre					dien	la				misère																			
60-prov-1235	14	.	Et	quan		aghé										tout	acaba					,		survenghé				uno	grando	famino		Din-c-aqhel	"péïs
            "			et	el						toumbé					din	lou				besoun																			
61-prov-1235	14	.		Qan		aghé										tout	acaba					,		survënghé				une	grando	famino	"dëdin
            "	aqël	pëis			ë							trouvé					din	la				misëro																			
62-prov-1235	14	.	Et	quand		aguet										tout	acabat					,		Si Fet Sentir				uno	grando	famino	dins	aqueau	pays			et							toumbet		tout à fet			dins	la				miseré																			
63-prov-1235	14	.		Quand		aguét										tou	acaba					,		arribet				uno	grosso	famino	"dins
            "	aqueou	païs	Et leou, leou	,								veguét		reduech	à		la	derniero				misèro																			
64-prov-1235	14	.		Quan		agué										tou	fricassa					,		vingué				une	grande	famine	din	aquéou	péys	d'aqui	,	é					coumencé						dé	manca	dé											tou												
65-viva-1235	14	.		Quan		agué								mangea							Soun patrimoiné	,		vengué				uno	"grando
            "	famino	din	lou	pays	vount'éro	;	et					coumencé						dé	manqua	dé											tout												
66-viva-1235	14	.		Après	qu'	agué									agu	tout	counsuma					,		survengué				uno	"grando
            "	famino	din	aqueou	païs	D’aqui é fugué									talomén		destitua		dé	toute	chiaouso																							
67-viva-1235	14	.		Apré	qué y	agué										tou	déspéndu					,	y	agué				une	gran	"famine
            "	dins	aquéou	païs																																é bén léou sé végué emé rén							
68-viva-1235	14	.	Et	quant		aguet										tout	achaba						gli	aguet				uno	grando	"famino
            "	din	aquau				et	yelo				coumincet	à	être				din	lou					besoin																			
69-viva-1235	14	.		Oprés	qu’	oguè										tout	counsuma					,		survénguè		Vount éro		"uno
            "	grondo	fomino											coummencé	dé	senti					lou					bésoun																			
70-viva-1235	14	.	Et	quand		aguet										tout	fricassa					,	li	aguec			, acqui	une	grande	famine	dinc	aqueou	païs		,	et					coumensec	a	aver		famp																											
71-fran-1269	14	.		Après	que						l’a z’u					to	dépinso					,	il	est veneu				unna	"granta
            "	famina	din	cé	pays	lé		é	z’u								dèporvu		de	tote	tsoutze																	n’a vei p’ona fraisa mé						
72-fran-1269	14	.		Quan							l’a					to	galufrâ					,	l’è	vegnei				ona	granta	famina	dan	ci	païs		,	èt																																				
73-fran-1270	14	.																						survegna				Enne	grosse	famine					,		bai				attaqua																										qu’él pyieve pieu résista					
74-stan-1289	14	.	Y	quant	ho	hagué											gastat					,		vingué				una	gran	fam	en	aquella	terra		,		y				comensà	à	patir										miseria																			
75-fran-1270	14	.		Aprai	que						lia sou lo 						dispensa					,		survegna				onna	granta	famena	en	s’ai	pays	inque		et					kmincia	à	sé trova					den	la				poureta																			
76-viva-1235	14	.	Poué	kan	al	ù										to	canfara					,	y	reigné				ouna	grossa	famena	dian	le	pay		,	é																																n’avai pé ran				
77-viva-1235	14	.		Après	qu’	aguë										tout	dëspënsa					,		arribë				une	grande	faminë	ën	aqueou	païs	d’aqui	,	ët					coumëncë	d’	estrë					dins	l’				indigènce																			
78-roma-1326	14	.	Ma			haviand			et							tuot	trasatò		il			,		rivet				üna	grande	fam	in	quel	pajais		,	et					comanzet	a	sufrir		maungel																											
79-roma-1326	14	.	Et	davo	chia el	ha										tot	consuma					,	eis	vengni					gronda	fomino	in	less	pajais		,	et					cumeinza	a	indürar																													
80-lang-1309	14	.	É	après	qé	agué										lou	despensa					,		avengué				uno	grando	famino	dinz	aqël	péis		,	é					commensé	à	toumba					en					paurieiro																			
81-fran-1269	14	.		Quan	li’	u										yo	frecaschi					,		vigne				ouna	puschinta	famena	din	schî	paï		;																																		n’avei révèrtansshe me. Quiê fére?			
83-prov-1235	14	.		Après	qu’	agué										tou	consuma					,		survengueuno					grando	famino	dins	aqueou	peis		;	e																																		foufué tallamen destitua de touteis causos		
84-norm-1245	14	.		Drès	qu’	eut										tout	supai					,	V’ia-t-i-pas	consommit				eunne	grand	disette	tout	çu	pais		,		c’qu’i 				c’menchit	à	débinai																													
85-prov-1235	14	.	Et	quand		aguet										tout	despensat					,		venguet				uno	grando	famino	dins	aqueou	pays			et					acoumencet	à	mourir					de					fam																			
86-prov-1235	14	.		Quandou	l’	aveté										tutou	chamenava						ou	vignité				una	gran	famina	enté	essou	paysé		,	et	ou				comença	à	caïr					entra					misera																			
87-high-1290	14	.																						arriva				aine	grosse	famenne					,					fou			Se accabia																													
88-fran-1270	14	.																						surveniét				Ainne	grosse	faimainne	dainli		scheûte		,					feut			Sche tormentê																												qu’èl ne poïet pus y resischtè	
89-fran-1270	14	.																						survenue				Enne	grosse	famine					,	a				fot	Se pressai																															que ne poïant pieu y resistai
90-fran-1270	14	.	Mans	corne																			al	survegnait				enne	grosse	famene										pouyant	Pus subsistâ	ne	resischtâ					o	sa				misere																			
