60-prov-1235	26	.			Souné							un		deï	variés									,	et		yé					demandé		de				qu’			ero											aco												.
61-prov-1235	26	.			Sounet	doun						un		dé sous	variés										ë		ië					demandet		dë				q’			ëro											aco												.
62-prov-1235	26	.			Demandet				a			un		deis	varlets																							que			ero											aquoto												.
63-prov-1235	26	.			Creidét							un		de sei	servitours									,	et		li					demandét				ce		qué			roé 					tout						aco												.
64-prov-1235	26	.			Apéllé							un		déï	varié	,	per	saoupré																d’éou		cé		qué			"érou
            "					tout						aco												.
65-viva-1235	26	.	Alors		crié							un		dé sei	variés										et		li					demandé						qu'			ero											aquelo 					festo							.
66-viva-1235	26	.			Apelé							un		dei	variés	,	per	saoupré																d’eou		cé		qu’			éro											aquo												.
67-viva-1235	26	.			Soune							un		déis	varléts	,									é		li					démandé				cé					quérie											aco												.
69-viva-1235	26	.			Sounè	dounc						ùn		dé sous	serviteurs										et		li					démondé				cé		qu’			érò																							.
70-viva-1235	26	.	Alors		appellec							un		des	varlets									,	et		ly					demandée						qu’			ero					tout						eco												?
71-fran-1269	26	.	È	l’	a appèlò							yon		des	domestiques		por	savey																de		lui	ciu     																					que cinteyve						.
72-fran-1269	26	.	Ye		dèmandè	frou						yon		dei	garson										è		lei	de					:																										Qu’è dan to ci tapadzo					?
74-stan-1289	26	.		Y	cridant				à			un		dels	criats									,			li					preguntâ	:					Que			era											allò												?
75-fran-1270	26	.	Et	il	cria							on		di	servetaux										et		l’ai					demanda				scen		Que														cire												.
76-viva-1235	26	.		Al	appella					tô de suite		on		de sou	vâlets									,	é		lui			desai								k’			etai																			ki avai				.
77-viva-1235	26	.			Appëlë	dounc						un		das	sarvitours									,	ët		li					dëmandë				ce		qu’			ère											aco												.
78-roma-1326	26	.	E		clamand							ün		dels	famalgs																s’informet el		,			che		que 			saia																							?
79-roma-1326	26	.	Et		clomét							ün		d’ils	servieints									,	et							dumondét	,			chia		quai			sea																							?
80-lang-1309	26	.			Sonné	doun						un		das	messajhes									,	é		li					demandé				ce		q’			ero											aco												.
81-fran-1269	26	.			Demanda	fro						l’on		di	dyèrshon										et		l’				intrèva							que	li’		îrè					to															schin			.
82-poit-1241	26	.		L’	app’lit						le bistreau qui sortait												pr’li aidaie à mettre lé buffs à l'éthiurie		et		le li					demondit				c’		quo	l’					iavait																				.
83-prov-1235	26	.			Appellé							un		de sei	servitours		per	saper																																												D’eou ce que si passavo		.
84-norm-1245	26	.		I	huchit							un		d’sé	gens										et		li					d'mandit				qu’	i	qu’c’			était											qu’cha												.
85-prov-1235	26	.			Souenet							un		deis	varlets										et		li			diguet			:			Que	es															aquo											"Que aussi
            "	?
86-prov-1235	26	.		Ou	chama	douca						un		dri seul	valleti									,	é		ou	gué				demanda				"cé
            "		qu’			era					tutou						aco												.
