1-stan-1290	21	. 	et 		son 	fils 																												lui 	dit 															: 					mon 		père	, 								j’	ai 		péché 	contre 	le  		ciel 	"et
            "	contre 	vous 							; 			et 			je 	ne 	suis 		plus 		digne 						d’						être 	appelé  				votre 		fils		.																	
26-poit-1241	21	. 			Son 	fait 																												li 	dicit															: 					Mon 		père	, 								i 	ai 		péché 	contre 	le 	"bon
            "	dieu 	et 	contre 	vous							, 			et 			je 	ne 	seux 		pus 		digne 						que 		vous 	me 				nommiez 				"vont
            "		fail		.																	
27-poit-1241	21	. 	Ce 		te 	jeune houme	, à la mode de l’autre , s’amandant d’avoir léché  un si tant brave père , 												"
            "				 											li 	dissit  				"pre ses raisons , les arme aux yeux  
            "											: 						cher 	père 		y 				coneut  bet 	qu’		i m’	ai 		détorsé de ma route	au vis-à-vis	de 		vous 	et  	du 	ciel 				qui 	m’	entend 	; 						y 	ne 	seu 		pus 					dans la grâce 			d’						être  	"loumé
            "				voûte 	cher 	fils 		... 	Pis 	de 	brailler	.													
29-poit-1241	21	. 			Son 	feuil 																												li 	dicit															: 					Mon 		père	, 								y 	ai 		péché 	contre 	le 		"ciel
            "	et 	devant 	vous							, 						i 	ne 	seus 		pas 		digne 				dans cheux moument 		d’						être 	noumé 				"voutre
            "		feuil		.																	
30-poit-1241	21	. 			Son 	gouya 																												ly 	dissit															: 					Mon 		pere	, 								j’	ay 		péché 	"Contrô
            "	le		ciele 	et 	contre 	vous							, 						je 	ne 	seu 		pu 		digne 						d’						eytere 	appelé 				voutre 		gouya		.																	
31-limo-1246	21	. 	Et 		son 	ménage 																												ly 	dicit 															: 					Mon 		père	, 								j’	è 		péché 	contre 	"le
            "		ciel 	et 	contre 	vou 							: 						je 	ne 	seu 		pu 		dingne 						d’						etre 	apelé 				voutre 		ménage		.																	
33-limo-1246	21	. 	Alors 		soun 	fis 																												li 	dicé 															: 					Moun 		pay	, 								y 	aï 		petcha 	countre	lou 		céou             	et 	countré 	vous							; 						ye 	ne 	say 		pû 		digné 						d’						êtré 	appela 				votre 		fis		.																	
34-lang-1309	21	. 			Soun 	fil 																												i 	diguoit 															: 							Païré 										aï 		pécat	countro 	lou 		cel	"et
            "	countro 	vous							, 			et 				nou 	su 		pas 		digné 						d’						estré 	opélat 				vostré		fil		.																	
35-limo-1246	21	. 			L’	efan 																												li 	dissél 															: 					Moun 		paîré	, 								y 	ais 		fauté 	countré 	"le
            "	boun 	Dî 	é 	countré 								; 			quo 				ne 	mé 				mérito 	pûs 					d’						étré 	noumé 				votr’		efan		.																	
36-limo-1246	21	. 			Lou 	drolé 																												ly 	dissé 															: 							paï	, 									ai 		pécha 	countré 	lou 		ceu 	"et
            "	dovant 	vous							, 							ne 					mérité 	pas 					d’						éssé 	péla 				votré 		fils		.																	
37-limo-1246	21	. 			Lou 	fis 																												ly 	dissé 															: 					moun 		paï 									yau 	ai 		pécha 	countré 	"lou
            "		ciaü 	et 	countré 	vous							. 						Yau 	né 	sey 		pûs 		digné 						d’						étré 	appella 				votre 		fis		.																	
38-auve-1239	21	. 			Son 	garçou 																												ly 	digué 															: 					Mon 		payre	, 								ïau 	z’ei 		petso 	"contre
            "	le 		ciau 	et 	contre 	vous							, 						ïau 	ne 					mérite 	pas 					d’						être 	noumô 				votre 		garçou		.																	
39-lang-1309	21	. 			Lou 	fil 																												li 	diguet 															: 					Moun 		païre 										ai 		pecat 	contro 	"lou
            "		cieou 	et 	contro 	vous							. 						Iou 	ne 					mérite 	plus 					d’						estre 	opelat 				vostre 		fil 		; 										trotam-me	me	coum’	un 	de 	vostres 	doum’stics	.
40-lang-1309	21	. 			Soun 	fil 																												li 	diguèt 															: 					Moun 		pèro	, 									ai 		peccat 	countro 	"lou
            "		cel 	et 	debon 	bous							, 						iou 		sou 		pas 		digne 				aro 		d’						estre 	oppelat 				buostre 		fil		.																	
41-lang-1309	21	. 			Lou 	fil 																												ye 	diguec 															: 					moun 		pero	, 									è 		peccàt 	countro 	lou 		"cel
            "	e 	daban 	bous							, 							nou 	soui 		plus 		dinne 						d’						estre 	appelat 				bostre 		fils		.																	
42-limo-1246	21	. 			Lou 	gouyat 																												ly 	dissut 															: 							Papay	, 									ey 		pécat	countre 	lou 		"céou
            "	é 	deban 	bous 							; 							ne 	suy 		pa 	mey 	capable 						d’						este 	aperat 				boste 		gouyat		.																	
43-gasc-1240	21	. 			Ésoun 	hil 																												qu’eouc 	digouc															:					Moun 		pay	, 								qu’	ey 		"peccat
            "	cost’	oou 		ceou 	é 	daouant 	bous 							: 							nou 	souy 		pas 	mes 	digne 						deou 							noum 		de 		"boste
            "		hil		.																	
44-lang-1309	21	. 	E 		le 	fill 																												i 	diguec 															: 					Moun 		paire 										é 		peccat 	countr’	ol 		"cel
            "	é 	daban 	bous							, 							nou 	soun 		pos 	pus 	digne 						d’						estre 	apelat 				bostre 		fill		.																	
45-lang-1309	21	. 	Et 		son 	hill 																												ly 	dizec 															: 					Mou 		pay 	! 								jou 	é 		peccach 	"contro
            "	l’		ceu 	et 	deüant 	bous							;						jou 	nou 	soun 		pas 	més 	dinnes 						d’						este 	aperach 				"boste
            "		hill		.																	
46-lang-1309	21	. 	Et 		soun 	fil 																												ly 	diguèc 															: 					Moun 		payré 									yeou 			peccat 	"countro
            "	le 		cèl 	et 	countro 	bous 										et 			yeou 	nou 	soun 		pus 		dignè 						d’						èstrè 	apèlat 				bostré 		fil		.																	
47-lang-1309	21	. 	Et 		le 	fil 																												ly 	digueg 															: 							Paire 									yeu 	ai 		peccat 	contre 	le 		cel	et	debant 	bous 													ja 	nou 					mérité 	pas 					d’						estre 	appelât 				Dostre		fil		.																	
48-lang-1309	21	. 	Et 		le 	fil 																												ly 	digueg 															: 							Paire 									yen 	ai 		peccat 	contre 	le 		"cel
            "	et 	debant 	bous							. 						Ja 	nou 					mérité 	pa 					d’						estre 	appelai 				bostre 		fil		.																	
49-cata-1291	21	. 	Y 		son 	fill 																												li 	digue 															: 							Pare	, 									he 		faltat 	contre 	del 		cel	"y
            "	contre de 	vos							, 						jo 	no 	so 				digne 												ser 	anomenat 				vostre 		fill		.																	
51-lang-1309	21	. 			Sou 	fil 																												y 	diguée 															: 																	Ei 		peccat 	costo 	lé 		cél 	et 	costo 	bous							",
            "								soun 		pas 	pus 	digné 						d’						estré 	appellat 				bostré 		fil		.																	
52-lang-1309	21	. 			L’	effan 																												li 	diguet 															: 					Moun 		païré 										aï 		peccat 	countro 	"lou
            "		ciel 	et 	countro 	bous							, 												mérité 	pas 	pus 				d’						estre 	appelât 				bostre 		fil		.																	
53-lang-1309	21	. 			L’	efan 																												ye 	dis 															: 					Moun 		pera 										ai 		ouffensat 		lou 		ciel 	et 		"bous
            "		ai ouffensat					, 								sioï 		pas 	pus 	dinne 						qué 			m’				agayou 		couma 		bostre 		éfan		.																	
54-lang-1309	21	. 	Et 		soun 	fil 																												li 	diguét 															: 					Moun 		païré 										soui 		coupablé 	"enbers
            "	lou 		cel 	et 	daban 	bous							, 			en 	sorto 	que 			soui 		pas 	pus 	digné 						d’						estre 	appelat 				"bostré
            "		fil		.																	
55-lang-1309	21	. 	E 		soun 	fil 																												li 	diguét 															: 					Moun 		pero 										aï 		peccat 	contro 	"lou
            "		ciél 	é 	contro 	tu 							; 			é 			ion 	ni 	souï 		pas 	pùs 	dignè 						d’						éstrè 	appelât 				toun 		fil		.																	
56-lang-1309	21	. 			Soun 	fil 																												yé 	diguet															: 					moun 		pèra 										ai 		pécat 	contra 	lou 		ciel	é 	contra 	vous 															soui 		pas 	pu 	digné 												dèstré 	apéla 				vostre 		fil		,					mais 					trata 	mé 	couma 	un 	"dé
            "	vostrés 	barles	.
57-auve-1239	21	. 			Soun 	garçon 																												lli 	diguet 															; 							païre 										ei 		petcha 	countre 	"lou
            "		chiaou 	et 	countre 	vous 							; 			et 									mérité 	plus 					que 			m’				appeloun 				vostre 		garçon		.																	
58-viva-1235	21	. 			Soun 	garçou 																												li 	digue 															: 					Moun 		pèro	, 									ai 		pécha 	couontro	lou 		cieou 	et 	davon 	vous							, 						ieou 						mérité 	posd											estré 	opéla 				vostre 		garçou		.																	
59-viva-1235	21	. 			Lou 	garçou 																													dissiguait															: 							Peire 										ou 		fais manqua	à 			Dieu 	et 	"à
            "	vous							, 			ou 					sio 		pas 		dignou 						d’						eitre 	apela 				votre 		afan		.																	
60-prov-1235	21	. 	Et 		soun 	fil 																												yé 	dighé 															: 					Moun 		péro	, 									aï 		peca 	contre 	"lou
            "		ciel 	et 	contre 	vous 															souï 		pa 	pus 	digné 						d’						estre 	apela 				voste 		fil		.																	
61-prov-1235	21	. 																																																					Moun 		përo	, 		ië 	dighé 	soun filh			, 		âi 		pecca 	contro 	lou 		"ciel
            "	ë 	contro 	vous 															soûl 		pas 	pus 	dignë 						d’						ëstrë 	apela 				vostë 		filh		.																	
62-prov-1235	21	. 	Alors 		lou 	fieou 																												le 	diguët 															: 					Moun 		païré	, 									ai 		"peccat
            "	contro 	lou 		ceou 	et 	contro de	vous							, 												meriti 	pas 					que 	l’	on 	mi 	doune 	lou 		noum 		"de
            "		vouestre 		fieou		.																	
63-prov-1235	21	. 			Lou 	fieou 																												li 	dis 															: 					Moun 		païré	, 									aï 		pecat 	contro 	lou 		"ciel
            "	et 	en 	vouestro 	presenço						; 			aro 					sieou 			plus 	digné 						d’						estré 	nouma 				vouastré 		fieou		.																	
64-prov-1235	21	. 			L’	énfan 																												yé	digué															: 					Moun 		père	, 									ai 		péca 	contre 	lou 		ciel 	"é
            "	davan 	vou							, 												mérité 	plu 					d’						estre 	appéla 				vosté 		enfan		.																	
65-viva-1235	21	. 			Aquesle 	cadé 																												li 	digué 															: 					Moun 		péré	, 									aï 		pécha 	couantre	lou 		ciel 	et 	couantre 	vous							, 								sieou 			plus 	digné 						d’						ésse 	appella 				vouasté 		enfan		.																	
66-viva-1235	21	. 			Soun 	garçoun 																												li 	digué 															: 					Moun 		péré 										aï 		péchia 	couantro	lou 		ciel 	et 	couantro 	vous							, 								sieou 		pa 		dini 				avuro 		d’						éssé 	apela 				vouasté 		garçoun		.																	
67-viva-1235	21	. 			L’	énfan 																												li 	digué 															: 							Pairé	, 									ai 		péccat 	contre 	lou 		ciel 	"é
            "	davan 	vous 							; 												mériti 	plu 					qué 			mé 				digoun 				vouesté 		fieou		.																	
68-viva-1235	21	. 	Et 		lou 	garçon 																													diguet 															: 					Mon 		pèret	, 									ai 		manquà 	au 			ciel 	"et
            "	à 	vous 							, 								sioû 		pas 		dignet 						detret 							apella 				votret 		garçon		.																	
69-viva-1235	21	. 	Et 		soun 	fils 																												li 	dicèt 															: 					Moun 		péré	, 									aï 		pétsa 	"couontrò
            "	lou 		ciel 	et 	couontro 	vous 							; 							nén 	siôou 			plus 	digné 						d’						etrè 	oppéla 				votré 		éfon		.																	
70-viva-1235	21	. 	Et 		soun 	garçou 																												li 	dissec 															: 					Moun 		père	, 									ai 		pécha 	couentre	lou 		ciel 	et 	couentre 	vous 							; 								siou 			plus 	cligne 						d’						estre 	appella 				"voueste
            "		garçon		.																	
71-fran-1269	21	. 			Son 	meniot 																												la y 	a det 															: 					Mon 		père	, 								y 	ai 		petchia 	"devant
            "	le 		chel 	et 	devant 	vo 							; 						ye 	ne 	sey 			pas 	digna 				ora 		d’						être 	appèlo 				voutrom 		fi		.																	
72-fran-1269	21	. 			Le 	valè 																											d’abô lei ya de, queman l’avei sondzi																	: 						"
            "	Sègno 	! 									yé 		pètzî 	contre 	le 	bon 	Diû 	é 	contre 	vo 							; 							ne 	su 		pâ 	mé 	mertan 						que 		ve 	mê 				"diessè
            "				voutron 		valè		.																	
73-fran-1270	21	. 	Y 		lo 	fill 																												li 	digue															: 							Pare 										he 		pecat 	contrai 			cel 	y 	"contra de 
            "	vos 							; 						ja 	no 	so 				digne 						de 						ser 	apellidat 						fill 	vostre	.																	
74-fran-1270	21	. 	Mà 		le 	vale 																												l’	ai déjà 															: 					Mon 		paire	, 									lié 		pétzi 	contre 	"le
            "	bon 	dieu 	et 	dévant 	te 							; 						il 	ne 	su 		pas 		digno 						qu’		on 	m’				appelai 				ton 		valé		.																	
75-viva-1235	21	. 	E 		son 	fi 																												liui 	desé 															: 							Pâre	, 								d’	é 		fé faute 	contre 	le 	"bon
            "	Dieu 	é 	contre 	vo													De 	ne 	sé 		plié 		digne 						qu’		on 	m’				appelle 				voutron 		fi		.																	
76-viva-1235	21	. 	Et 		soun 	ënfan 																												li 	disë 																				Moun 		pèrë	, 									ai 		pécha 	couentrë 	"lou
            "		ciel 	ët 	couentrë 	vous							, 						ël 		sieou 			plus 	dignë 						destrë 							appëla 				voustë 		ënfan		.																	
77-roma-1326	21	. 	Co dschet 		il 	filg 																														ad 	el 													: 							Bap 	! 								eau 	he 		pchi 	conter 	"il
            "		cel 	et 	avaunt 	te 							; 							ne 	sum 			pü 	deng 						d’						esser	nomn’				lieu 		filg		.																	
78-roma-1326	21	. 	Et 		ilg 	filg 																													dschel 	ad 	el 													: 							Bap	, 								e 	nhà 		fat puchia 	"in
            "			tschoel 	et 	avant 	tei 							; 						gia 	nu 	sun 				deng 						da 						gnir 	nomma 				tees 		filg		.																	
79-lang-1309	21	. 	É 		soun 	fil 																												li 	digué 															: 					Moun 		péro	, 									ai 		peca 	contro 	"lou
            "		ciel 	é 	contro 	vous 							; 			é 					soui 		pa 	pu 	dignë 						d’						estré 	apela 				vosté 		fil		.																	
80-fran-1269	21	. 			In 	gars																										, qui n’était diaire rusé oll’était le faill																		:					Mon 		p’pa		que 	l’	dicit 		qu’neut 	qui 			ai 	raide 	monqué 	au 		bon 	Dieu 	et 	à 	vou 			"tout
            "							et 			qui 	n’	saie 			pu 	digne 						d’						être 					vout’		faill							mais 	y	v’	z’en	prie 	prenè 	m’	pr’			"vout
            "	valet	.
81-prov-1235	21	. 	Et 		l’	gâs 																												li 	fit 															: 							Papa	, 	qui 		dît				, 	j’	ons 		manquai 	au 		"bon
            "	Gieu 	et 	à 	vous 			itou				, 	dit 	i 	; 			je 	n’					méritons 	pus 					qu’		i 	m’				appellent				"votte
            "		fieu		.																	
82-prov-1235	21	. 	Et 																															v’li 	diguet 															: 					Moun 		paire 										aï 		peccat 	"contro
            "	lou 		ciel 	et 	contro de 	vous							, 							noun 	siou 		pas 		digne 						d’						estre 	appellat 				"vouestre
            "		fieou		.																	
83-prov-1235	21	. 	É 	rou 	so 	fillou 																												gué 	diché 															: 							Pa 									mi 	o 		pecaou 	contra 	"rou
            "		cer 	et 	contra 	voui							, 			é 			mi 	nou 					meritou 				cha 		d’						éssé 	nomaou	rou 			vostrou 		fillou		.																	
84-high-1290	21	. 			Stou 	geouveune home 		saitant 	adonc 	pieu 	vivemèt 	que 	"geama
            "				le 	maux 	qu’	’	él 	aive 	fait 	a 	quittant 		on 	se 	bon 	père	, 			gli 	déza 					avoé 	ainne 	"prévonde
            "				douleur 				: 	I 	ai 	pétschie	, 	mon 		père	, 												contre 	le 		cil 	et 	contre 	vos 							; 						i 	ne 	si 		pieu 		"digné
            "						d’						être 	appellâ 				voutre 		fils		.																	
85-fran-1270	21	. 			Ci 	geüene baume		que 	sentait 	pus 	foë 	que 	gemais 				le 	"mà
            "	qu’	’	èl 	aivait 	fait 	de 	tütie 		in 	sche 	bon 	père 				y i 	diét 					aivô 		bécop 			de 	remoës 				: 	I 	"aie
            "	manqué	, 	mon 		père	, 												vis à vis 	de 		vos 	è 	vis à vis di  	cie							, 						î 	ne 					méritè 	pus 					d’						"être
            "	aipelè 				vote 		fés		.																	
81-fran-1270	21	. 			Su 	geovenne home 		sotant 	adonc 	pieu 	vivemo 	que 	"geamais
            "				le 	maux 	qu’	’	al 	avait 		o 	quittant 		in 	se 	bon 	père	, 			li 	diesa 					avo 	enne 	profonde 				douleur				":
            "	I 	ai 	pétschie 		mon 		père 													contre 	le 		ciel 	et 	coutre 	vos 							; 						i 	ne 	si 		pieu 		digne 						d’						"être
            "	apallai				vote 		fès		.																	
82-fran-viva	21	. 			Stu 	geüene home 		sotait 		pus 		que 	geamâ 	combin 	al 	"avait
            "		maux 					fât 	de 	quitta 		in 	sche 	bon 	pâre 	; 			al yi 	dijèt 						lo 	cœur 		pïen 	de 	"trischetasse
            "	a 	de 	repotance 	: 					Mou 		pâre	, 									â 		petschi 	contre 	lo 		cie 	a 	contre 	vos							, 						i 	ne 					mérité 	"pus
            "					d’						étre 	nommâ 				vote 		ofant		.																	
