1-stan-1290	18	. 		Il 		faut 		que 	je 	me 			lève 																			et 	que 	j’			aille 		trouver 		mon  	père	, 		et 	"que
            "	je 	lui 	dise 			: 	mon 	père	, 	j’	ai 	pêché 	contre 	le  		ciel 	et 	contre 	vous 			;
44-lang-1309	18	. 							Jou 	me 			lebaré 																			é 			m’	en 	aniré 			bers 	moun 	paire 			e 			i 	diré 			":
            "	Moun 	paire 			é 	peccat 	countr’ 	ol 		cel 	é 	daban 	bous			.
45-lang-1309	18	. 								Me 			leüarè 																			et 			m’	en 	aniré 			bers 	mou 	pay	, 		et 			ly 	diré 			: 	"Mou
            "	pay 		jou 	è 	peccach 	contre 	l’		ceu 	et 	deuant 	bous			.
46-lang-1309	18	. 				Cal 		què 	yeou 	mè 			lèbè 																			et 	què 				angoy 		trouba 		moun 	payré 			"et
            "	què 		ly 	digo 			: 	Moun 	payrè	, 	yeou 	èy 	pècat 	countro 	lè 		cèl 	et 	countro 	bous			.
47-lang-1309	18	. 						Que 		me 			lebé 																			et 			m’	en 	aniré 		trouba 		mon 	paire 			et 	que 		"ly
            "	digo 			: 		Paire 			ai 	peccat 	contre 	le 		cel 	et 	debani 	bous			.
48-lang-1309	18	. 						Que 		me 			lebe 																		; 	et 			m’	en 	attiré 		trouba 		mon 	paire 			et 	que 		"ly
            "	diguo 			: 		Paire 			ai 	peccat 	contre 	le 		cel 	et 	debant 	bous			.
49-cata-1291	18	. 	Alsant-																																me 		anire 			prop de	meu 	pare	, 				y 	li 	dire 			: 		Pare	, 		"he
            "	faltat 	contre 	del 		cel 	y 	contre de 	vos			.
51-lang-1309	18																														. 				M’	en 	anirèï 		trouba 		moun 	païré 			et 		y 		direï 			: 	Moun 	païré	",
            "		ei 	pécat 	costo 	é 		cel 	et 	costo 	bous			.
52-lang-1309	18	. 				Craou 		que 		me 			tiré 			d’				aïci 												et 	que 		m’	en 	ane 		trouba 		"moun
            "	païré	, 		et 	que 	ye 		digue 			: 	Moun 	païré	, 		aï 	pecat 	countro 	lou 		ciel 	et 	countro 	bous			.
53-lang-1309	18	. 	Aneu noun ban 																																				trouba 		moun 	pera 			et 		ye 		dire 			: 	Moun 	"pera
            "			ai 	ouffensat 		lou 		ciel 	et 		bous 		aï ouffensat	.
54-lang-1309	18	. 								Me 			relibarai 	dounc 		d’	aqueslo 	misero													, 						aniraï 		trouba 		"moun
            "	païré 			et 		li 		diraï 			: 	Moun 	païré 			aï 	pécat 	countro 	lou 		cél 	et 	countro 	bous			.
55-lang-1309	18	. 							lou 	mi 			lèbaraï 																			é 					anaraï 			a 	moun 	pero 			é 		li 		diraï 			: 	"moun
            "	pero 			aï 	peccat 	contro 	lou 		ciél 	é 	contro 	tu			.
56-lang-1309	18	. 				Faou 		qué 		m’	en 		ané 																			é 	qu’				ané 		trouva 		moun 	pèra 			é 	qué 	"ye
            "		digué 			: 	Moun 	pèra 			ai 	pécat 	contra 	lou 		ciel 	é 	contra				
57-auve-1239	18	. 											Vouole 			d’	aqueste 	pas 																			anar 		troubar 		moun 	païre 			et 			"lli
            "	direi 			: 					Ei 	petcha 	countre 	lou 		chiaou 	et 	countre 	vous			.
58-viva-1235	18	. 				Chaou 		que 																											m	en-	anous 		trouba 		moun 	pèro 			é 			li 	direi 			; 	"Moun
            "	pero	, 		aï 	pécha 	couontro 	lou 		cieou 	és 	davon 	vous			.
59-viva-1235	18	. 		On 						me 			lèverai 																			et 		ou 	l’		irai 			vez 	moun 	peire 			et 		ou 	"li
            "	dirai 			: 	Paire 			ou 		fais manqua 	à 			Dieu 	et 	à 	vous			.
60-prov-1235	18	. 								M’	en 		anaraï																		, 						anaraï 		trouva 		moun 	péro	, 		et 		yé 		dirai 			":
            "	Moun 	péro	, 		aï 	peca 	contro 	lou 		ciel 	et 	contro 	vous			.
61-prov-1235	18	. 								Më 			lëvaraï																		, 						anaraï 		trouva 		moun 	përo 			ë 		ië 		dirai 			: 	"Moun
            "	përo 			aï 	pecca 	contro 	lou 		ciël 	ë 	contro 	vous			.
62-prov-1235	18	. 		Si 		faou 							lévar 																								anarai 		troubar 		moun 	païré 			et 			li 	dirai 			":
            "	Moun 	païré	, 		ai 	pecat 	contro 	lou 		céou 	et 	contro 	vous			.
63-prov-1235	18	. 								Mi 			levarai																		, 						anarai 		trouba 		moun 	païré 			et 			li 	dirai 			: 					"Ai
            "	péca 	contre 	lou 		ciel 	et 	en 	vouestro presenço			.
64-prov-1235	18	. 				Foou 		qué 		mé 			lève																		, 		qué 		m’	en 	ané 			ver 	moun 	père 			é 	qué 	"yé
            "		digué 			: 	Moun 	père	, 		aï 	péca 	contre 	lou 		ciel 	é 	davan 	vou			.
65-viva-1235	18	. 								Me 			lévarai																		, 						anarai 			vey 	moun 	péré 			et 			li 	dirai 			: 	"Moun
            "	péré	, 		aï 	pécha 	couantre 	lou 		ciel 	et 	couantre 	vous			.
66-viva-1235	18	. 				Faou 		qué 		mé 			lévé 																				qu’				avé  			vei 	moun 	péré	, 		"é
            "	qué 		li 	disé 			: 	Moun 	péré	, 		aï 	péchia 	couantro 	lou 		ciel 	é 	couantro	vous			.
67-viva-1235	18	. 								mé 			lévarai 																			é 			m’	én 	anarai 		trouba 		moun 	pairé 			é 			li 	dirai 			":
            "		Pairé 	! 		ai 	"péca 
              "	"contre
              "	Ion 		ciel 	é 	davan 	vous			.
68-viva-1235	18	. 											Partirai 																		; 						anarai 			vès 	mon 	pèret 			et 			gli 	dirai 			: 	"Mon
            "	pèret 			ai 	manqua 	au 			ciel 	et 	à 	vous			.
69-viva-1235	18	. 				Faou 		que 		mé 			lévé 																			et 	que 		m’	én 	ané 			véz 	moun 	péré 			et 	"que
            "		li 	dise 			: 		Péré	, 		aï 	pétsa 	couontrò 	lou 		ciél 	et 	couontrò 	vous			.
70-viva-1235	18	. 								M’			egararei 			d’				eici 																	onarei 			veis 	moun 	père	, 		et 			ly 	direi 			":
            "	Moun 	père	, 		ai 	offensa 		lou 		ciel 	et 		vous			.
71-fran-1269	18	. 		É 		fau 		que 	ye 	me 			lévaye																		, 		que 	y 			aillo 			ver 	mon 	père 			é 	"que
            "	ye 	ley 	diasso 			: 	Mon 	père 		y 	ai 	petchia 	devant 	le 		chel 	é 	devait 	vo			.
73-fran-1270	18	. 								M’			alsaré																		, 			y 			aniré 			à 	mon 	pare	, 				y 	li 	diré 			: 		Pare	, 		"he
            "	peccat 	contrai 			cel 	y 	contra 	vos			.
74-fran-1270	18	. 		Il 						mé 			lévri																		, 	et 			m’	én 	andri 			vers 	mon 	paire 			et 			lai 	deri 			":
            "	Mon 	paire	, 		lié 	pétzi 	contre 	le 	bon 	dieu 	et 	devan 	te			.
75-viva-1235	18	. 	De man 										vai moda 																		; 			d’			irai 		trova 		mou 	pâre 			é 	de 		liui 	"derai
            "			: 	Mou 	pâre	, 	d’	é 	fé faute 	contre 	le 	bon 	Dieu 	é 	contre 	vô			.
76-viva-1235	18	. 				Faou 		quë 								d’	aquestou 	pas 																	m’	ën 	anë 		troubar 		moun 	pèrë  			ët 	quë 		ly 	disë 			: 	Moun 	pèrë	, 		ai 	pêcha 	couentrë 	lou 		ciel 	"ët
            "	couentrë 	vous			.
77-roma-1326	18	. 		Eau 		volg 							partir 																			et 					ir 			tiers 	mïeus 	bap	, 		e 				dscharò 			: 		"Bap
            "	! 	eau 	he 	pchi 	conter 	il 		cel 	et 	avaunt 	te			.
78-roma-1326	18	. 		Et 		vô 		star 	sü 																							et 					ir 			pro 	mees 	bap 			et 				dir 	ad’	el	: 		Pap	, 	"é
            "	nha 	pechia 	in 	tschoel 			et 	avant 	tei			.
79-lang-1309	18	. 				Faou 		që 								d’	aqueste 	pas 																			ané 		trouva 		moun 	pero 			et 	që 		"lï
            "	digué 			: 	Moun 	pero	, 		aï 	peca 	contro 	lou 		ciel 	é 	contro 	vous			.
81-prov-1235	18	. 				Faut									, 						tout 	d’	sieutte								, 		que 	j’			voige 		trouvai 		men 	père 			"et
            "	que 	j’	li 	dise 			: 		Papa	, 	j’	ons 	manquai 	au 		bon 	Gieu 	et 	à 	vous 	aussite 		;
82-prov-1235	18	. 				Faou 		que 		mi 			levi																		, 	et 	que 				vagui 		troubar 		moun 	pèro 			é 			"li
            "	dirai 			: 	moun 	pèro 			ai 	peccat 	contro 	lou 		ciel 	et 	contro 	vous			.
83-prov-1235	18	. 		Ou 		car 		que 	mi 	mé 			lévé 																			é 	qué 		mi 		vagué 	à 	trouvar 		mé 	"par
            "			et 	que 	mi 	gué 	digué 			: 		Pa	, 	mi 	o 	pécaou 	contra 	rou 		cer 	et 	contra 	voui			.
