1-stan-1290	30	. 	mais 	aussitôt 		que 				votre 	autre 	fils										, 		qui 		a 		mangé 			son  						bien 				"avec
            "	des 	femmes perdues 		, 									est revenu			, 				vous 			avez 					tué  	pour 	lui 					le 	veau 	gras							.
21-fran-1270	30	.	Ma 	do 		que 				vote 		gasson 												qu’		ai 		maigeai 			son 						bien 				ai veu 	"des
            "	fermes paidues 											ai revenue			, 				vou 			aivai 					tuet 	pou 	lu 					le 	viau 	gras							.
22-fran-1270	30	.	Main 	aussitoue 		que 				vouete 		fis 												qu’		ait 		maingie 			son 						"bin
            "				avoue 	des 	fannes pour d’hiue 											ol rev’nu			, 				vous 			etes 					tua 	pou 	lu 					lou 	viau 	gras							.
23-bour-1247	30	.		Ai poine 						voûte 	aute 	fio 							o t’o été errivé 			, 		aiprès qu’	"ol
            "	aireu 	tout 	mezé 				ce 	qu’	ol 	aivot 						aivec 	das 	fonnes de mauvaïe vie 															que 			voué 						"fé
            "		tuer 							le 	viau 	gras 		poôre 	lu				.
24-poit-1241	30	.	Mais 	quante 						votr’		afan 												qu’		o 		mangea 	tou 		son 						bien 				avec 	"de
            "	chetivais f’mellais											est revangu			, 				v’			avaîs 	pre 	li 	fey 		tua 							un 	vedais 	gras							.
26-poit-1241	30	.	Mais 	d’abord 		que 				vout 	autre 	fait 							est revenut			, 	li 	qui 		"a
            "		mangé 	tot 		son 						benn 				avec 	des 	fumelles de méchante vie 														, 				v’s			avez 					tué 	pre 	li 					le 	"vias
            "	gras							.
29-poit-1241	30	.	Et 	lorsqu’				in 				feuil 				coume 	chos chi					, 		chi 		a 		mangit 	"tout
            "		son 						benn 				avec 	dos 	vilaines criatures 											est vingut			, 				vez 			avez 			fait 		tuer 	pre 	li 					"le
            "	beudet 	gras							.
30-poit-1241	30	.	Mé 							voutr’	autre 	gouya										, 		qu’		a 		mangé 	tout 		son 						bien 				"aveque
            "	dey 	femmes deybauchaye		, 		n’	ey	pas		pu 	leu		arrivé 				que 			vous 			avé 			fet 		tué 							le 	vedé 	gras 		"pr
            "	ly				.
31-limo-1246	30	.		Avequ’icheu taleu 		que 				ventre 		ménage 				qu’	est ichi 						"et
            "	qu’		at 	tout 	mangé 													dan 	des 	livertines		, 									est arrivé			, 				vous 		ly 	avés 			fait 		tué 							le 	"vedeu
            "	gras							.
33-limo-1246	30	.	Mais 	dey 		que 				votre 	aoutré 	fis										, 		qu’		a 		mindgea 	tout 		"soun
            "						bé 				avequé 	de le 	fennais perdudais		, 									agu tourna 							v’			avés 					tua 	per 	le 					un 	"vedeou
            "	grais							.
34-lang-1309	30	.	Mais 	toléou 		qué 				vostré 	aoutré 	fil										, 		qu’		o 		mintzat 			soun 						"bé
            "				en 	dé loï 	fennos perdudos		, 									es tournât			, 							ovès 					tuat 	per 	el 					lou 	védel 	gras							.
35-limo-1246	30	.	Mâ 	tout oussi tant 		qué 				vautr		éfan 												qu’		o 	tout 	mengé 			"soun
            "						bé 				avaqué 	dé 	chetivâ fumélâ 											é reveingû 			, 				v’			avé 	per 	li 	fê 		tua 							eun 	vedeûe 	gra							.
36-limo-1246	30	.	Màs 	quand 						votré 		drolé 				qu’	eï ki 		eï tourna 	après 	"veï
            "							minja 	touto 		so 						dénado 				coumo 	las 	geusas														, 				vous 			ovez 					tua 							lou 	védeu 	gras							.
37-limo-1246	30	.	Mas 	assitau 		que 				votré 	autre 	fis 												qué 		a 		mingea 			soun 						"bé
            "				avéqué 	las 	fennas perdudas 											a révengu 							vous 			avés 					tua 	per 	sé 					un 	vedeu 	gras							
38-auve-1239	30	.	Et 	por 						votre 		garçou										, 		que 		z’o 		mantzo 	toù 		son 						bé 				embei 	"de las 
            "	fennas de mauvaso vidô														, 				vous 			avé 					tioua 							le 	vedé 	gras 		par 	le 	recébre			.
39-lang-1309	30	.	Et 	quond 					oqueste 			fil 												qu’		o 		dissipât 	tout 		soun 						be 				"omme
            "	delei 	gusos 											es tournat 			; 				vous 			ovez 			fa 		tua 							un 	bedel 	gras 							!
40-lang-1309	30	.	E 	quont 				un 				effon 				coum 	oquel					, 		qu’		o 		monchat 	tout 		soun 						"be
            "				ombe 	de 	couquinos 											es bengut 							bous 			obes 			fach 		tua 	per 	el 					lou 	bedel 	gras							.
41-lang-1309	30	.	E 	aro 					aquel 	bostre 		fil 							es tournat 					quan 		b’ajut 	"tout
            "	acabat 													ambe 	de 	gourgandinos														, 										fases 		tia 							lou 	bedel 	gras 		per 	lou 	recebre 			!
42-limo-1246	30	.	Mé 	coure 						boste 		gouyat 				qu’	es achiou					, 		qu’		a 		minghat 	"tout
            "		soun 						dequé 				dan 	des 	libertines 											es bengut			, 						ly 	abé 					touat 							lou 	bétet 	gras							.
43-gasc-1240	30	.	É 		que tuats lou bedet gras à l’arribado de 					boste 		"hil
            "								 				qui 		benc de		se fricassa 	tou 			ço 	qu’		aouëo 						dambe 	las 	putos																																										.
44-lang-1309	30	.		Tandis qu’aprex 		qu’			aquel 	bostre 		fill 												qu’		a 		debourat 			"soun
            "						be 				ambe 	de 	debaucbados 											es bengut			, 							abex 					tuat 	per 	el 					un 	bedel 	gras							.
45-lang-1309	30	.	Mes 	quant 					aquech 	boste 		hill 												qu’		a 		devourach 			sou 						be 				"dam
            "	eras 	baurienos 											é benguch			, 				bous 			aüets 					tuach 							ech 	bedech 	gras 		en 	sa 	favou			.
46-lang-1309	30	.	Mais 	talèou 		qu’			aquèl 		aouiré 	fi										, 		qu’		a 		mangeai 			soun 						"bè
            "				ambè 	de 	fènnos proustituados 											ès rèbèngut 							bous 			abèts 					tuat 							le 	bèdèl 	gras							.
47-lang-1309	30	.	Mes 						aquel 	bostre 		fil 												qu’		a 		debourat 			son 						bé 				ambe 	"de
            "	fennes de maichanta bida 				n’	es 	pa 		pu 	leng 		arrribat 				que 			bous 			abex 					tuat 	per 	el 					"le
            "	bedeilh 	gras							.
48-lang-1309	30	.	Mes 						aquel 	bostre 		fil 												qu’		a 		debourat 			son 						bé 				ambe 	"de
            "	fennes de maichanta bida 		, 		n’	es 	pa 		pu 	leng 		arribat 				que 			bous 			abex 					tuat 	per 	el 					"le
            "	bedeilh 	gras							.
51-lang-1309	30	.	Et 	quand 						bostré 		fil 				qu’			es aqui tourne 			, 		après 		"abè
            "		manjeat 	tout 		soun 						bé 				amè 	dé 	bandidos														, 							abets 					tuat 	per 	lé 	récébré 				lé 	"budèl
            "	gras							.
52-lang-1309	30	.	Mé 	tant leou 		que	, 			bostre 		effan 				qu’	es aïci 							qu’		a 		mangeat	tout 		soun 						bé			, 	ambé 	de 	fennos perdudos 											es bengut 										abés 					tuat 	per 	el 					lou 	"budel
            "	gras							.
54-lang-1309	30	.	Més 	taleu 		que 				bostré 		fil 												qu’		a 		debourat 			sa 						légitimo 				"ambé
            "	de 	fennos débauchados 											es arribat 										abés 					tuat 	per 	el 					lou 	bedel 	gras							". """
55-lang-1309	30	.	Mè 	quon 						toun 		fil 				qu’	es aqui 							qu’		o 		mangeat 	tout 		soun 						"bè
            "				enbè 	de 	fennos dèbaouchados		, 									ès revengut 			, 							as 			fach 		tua 							lou 	bèdél 	gras 		per 	èl				.
56-lang-1309	30	.	E 	dès 		qu’		un 				fil 				coumma 	aquel 							qué 		à 		mangeat 	tout 		son 						"ben
            "				enbé 	de 	femmas perdudas											es vengut 							vous 			aves 			fach 		tua 							lou 	budel 	gras							.
57-auve-1239	30	.	Ma 	taliaou 		que 				vostre 	aoutre 	garçon 												qu’		avio 	"tout
            "	mandzea 													embe 	de 	putes 											es arriba			, 							avé 					tiua 	per 	zei 					un 	vedé 	gras							.
58-viva-1235	30	.	E 	quont 				un 				garçou 				coumo 	oquel 							qué 		o 		mongea 	tou 		soun 						"bé
            "				aoubé 	de 	fennos de meschonto vido		, 									arriba vengu			, 				vous 			avés 			fa 		tua 							lou 	veou 	grass 		"per
            "	el				.
59-viva-1235	30	.	Mais 	d’ossiteu 		que 						cadeit 												qu ‘		à		mingea 	tout 		soun 						"biein
            "				aubé 	lalz 	filla 											ez arriva 							vous 			avés 					tuïa 							lou 	vio 	gras 		per 	eîlou				.
60-prov-1235	30	.	Més 	entré 		qué 				voste 	aoutre 	fil										, 		qu’		a 		mangea 	tout 		"soun
            "						ben 				embé 	de 	couquinos 											es revengu			, 							avés 					tua 	per 	el 					lou 	vedel 	gras							.
61-prov-1235	30	.	Me 							vostë 	aoutrë 	filh 												q’		a 		manjha 	tou 		souil 						bën 				embë 	"las
            "	fénnos de marido vido					es 	pa 	esta 	pu 	léou 		révénghu 				q’						avez 			fa 		tuia 							lou 	vedaou 	"gras
            "		pér 	él				.
62-prov-1235	30	.	Et 	quant 						moun 		fraïré 												qu’		a 		mangeai 	tout 		soun 						ben 				émé 	"de
            "	marideis frémos 											revent 					à l’houstaou 								fes 		tuar 							lou 	vedeou 	gras							.
63-prov-1235	30	.	Et 	lorsqu’				un 				fieou 				coumo 	aqueou					, 		qu’		a 		mangea 	tout 		"soun
            "						ben 				din 	la 	debaoucho 											es révengut			, 							avès 			fa 		tua 	per 	eou 					lou 	vudeou 	gras							.
64-prov-1235	30	.	E 	quan 				un 				enfan 				coume 	"aquéou d’aqui 
"							qu’		a 		mandza 	"tou
            "		soun 						ben 				amé 	dé 	féme publique		, 									éï vengu			, 						y 	avé 					tuïa 							lou 	védéou 	gras							.
65-viva-1235	30	.	Et 							vouasté 		enfan 												qu’		a 		mangea 	tout 		soun 						ben 				eoumé 	"des
            "	vaurienes		, 								fai qué 	reveni 		à vous 				et tout dé suito							fasés 		tua 							lou 	védeou 	gras							.
66-viva-1235	30	.	É 	lorsqué 				un 				énfan 				coumo 	aqueou 							qu’		a 		mangia 	tou 		"soun
            "						bén 				énbé 	dé 	fénos perdios 											ei véngu			, 							avés 			fa 		tua 	per 	eou 					ton 	vedeou 	gras							.
67-viva-1235	30	.	Mai 	aquas 		qués 				voueste 		enfan 				ooutan 	leou 	qu’	ésvengu eou 					qu’		a 		gula 			soun 						bén 				émé 	léîs 	putes														, 							avés 					tua 							"lou
            "	védeou 	gras							.
69-viva-1235	30	.	Mès 					l’			aoutré 	obaï 												qu’		o 		piffra 	tout 		soun 						bien 				embé 	"de
            "	cotorinàs		, 		n’	èi 	pas 		plus 	tuêz 		révéngu 				qu’				pér 	éou 	ovè 					sona 							lou 	véou 	gras 		pêr 	éllou				.
70-viva-1235	30	.	Mes 	après 		que 				voueste 		garçou 		lou cadet								, 		qu’		a 		mangea	tout 		soun 						bataclan 				embe 	de 	deivargougnias 		, 									es revengu			, 			vite 							fase 		tuar 	por 	eou 					"un
            "	veou 	gras							.
71-fran-1269	30	.	É 	quand 				on 				garçon 				quemin 	cèlè 							qu’		a 		mindgià 	to 		son 						"bin
            "				avoé 	dés 	féné perduve 											é veneu			, 				vo 			z’è			fè 		toa 	por 	lui 					le 	vè 	grà							.
72-fran-1269	30	.	È 					l’			ôtrou 													qu’		a 	to 	bâfrâ 													avu 	dei 	trinnayè 				n’	à 	pa 		plie-	tou		rèpri			, 	que 			vo 		lei 				fâdè 	a 	tiâ 				le 	mèliau 	de 	noutrè 	vî								.
74-stan-1289	30	.	Y 	quant 					aqueix 			fill 	teu									, 		que 		ha 		gastat 	"tota
            "		sa 						llegitima 				ab 		donas de mala vida														, 							haveu 			fet 		matar 	per’	ell					la 	vadell 	gras							.
75-fran-1270	30	.	Mâ 	quand 						ton 		valé 				que 			vaitinque 					que 		lia 		medzi 	tô 		so 						"bin
            "				avoue 	de 	faines débordaïes		, 									e venu			, 				te 		l’ai	as 					tia							le 	vai 	gras							.
76-viva-1235	30	.	Ma 							voutron 		fi										, 		k’		a 		mezia 			son 						bein 				avouai 	dé 	coquines		",
            "		n’	a 	pas 		pe 	tou 		arriva 				ché 			vos 		i 				fai 		thua 							le 	vé 	gra 		pé 	liui				.
77-viva-1235	30	.	Maï 	tant léou 		quë 				voustë 	autrë 	ënfan										, 		quë 		a 		mangea 			"soun
            "						bèn 				ëmë 	dë 	frëmes pardues		, 									ës rëvëngu			. 							ave 					tua 	par 	ëou 					lou 	veou 	gras							.
78-roma-1326	30	.	Ma 	siand 					quist 	tieu 		filg										, 		chi 				consümet 				"lia
            "					facolted 				con 		pitaunas														, 		schi 				l’	hest 					mazzò 							il 	vdé 	ingraschò							.
79-roma-1326	30	.	Ma 	davo 		chia 			quest 	tees 		filg										, 	quel 	chi 		ha 		trus 			"sea
            "						substanza 				cun 		piangas		, 									eis-vengi 			, 							has 					mezza 	ad 	el 					ün 	vadee 	ingrascha							.
80-lang-1309	30	.	Més 	au moumen 		që 				voste 	autre 	fil										, 		që 		a 		manga 			soun 						"bé
            "				embé 	de 	fennos de michanto vido		, 									es revengut 										avés 					tuia 	per 	el 					un 	vedel 	gras							.
81-fran-1269	30	.	Mà 	pâ pessboû		qu			iè 	voussbr’n-	ôtro 	fe 			li’è révugnu, vousshrom dèbrefâ							, 	que 		li	a 		medji 	to 		schon 						bin 				avuei 	di 	grelôte		"
            "												, 				vo 		léi 				"fédè
            "		majalâ 							le 	vi 	grâ							.
82-poit-1241	30	.	Etv’	laqu’vouf arsouil  		de 						gars										, 		qui 		a-t-		avalaie 	"tout
            "			c’	que 	l’	avouait 			à fouère la ribote et à courir 				li 	fumelles 					est 			à pouëne 			arrive 				"que
            "			vous 						fasez 		tuaie 							in 	véâ 			pre 	le 	reingalaie 	! 	faut trejou bé quou seigiez cascaret 	?
83-prov-1235	30	.	E 	lorsqu’				un 				enfan 				com	aquestou					, 		qu’		a 		manja 	tou		soun 						ben 				eme	de 	frémos perdudos  											es vengu			, 				vous 			aves 			fa 		tuar 	per 	eou 					"lou
            "	vedeou 	gras							.
84-norm-1245	30	.	Mais 	sitôt 		qu				votte 	aôte 	fieu 												qu’		a 		mangi 			sen 						"bién
            "				aveuques 	un tas d’	criatures 											est r’venu			, 				v’s			avais 					tuai 	pou 	li 					l’	"viau
            "	gras							.
85-prov-1235	30	.	Mai 	tout d’abord 		que 				vouestré 	autre 	fiéou 												que 		a 		"mangeat
            "			soun 						ben 				emè 	de 	tirassados		, 									es revengut										aves 					tua 	per 	éou 					lou 	vedeou 	gras							.
86-prov-1235	30	.	Ma 	prestou 		que 		rou 		vostrou 	aoutrou 	fillou 												qui 		"a
            "		dévouriou 	tutou 	rou 	so 						ben 				coun 	dré 	ja ouvadé		, 									s’é retiraou			, 							avé 					tuaou 	per 	"er
            "					rou 	vélou 	grassou							.
